,Position,Driver,Car,Laps,Time,Points
33,1,Max Verstappen,Red Bull Racing Honda,63,2:02:34.598,25
44,2,Lewis Hamilton,Mercedes,63,+22.000s,19
4,3,Lando Norris,McLaren Mercedes,63,+23.702s,15
16,4,Charles Leclerc,Ferrari,63,+25.579s,12
55,5,Carlos Sainz,Ferrari,63,+27.036s,10
3,6,Daniel Ricciardo,McLaren Mercedes,63,+51.220s,8
10,7,Pierre Gasly,AlphaTauri Honda,63,+52.818s,6
18,8,Lance Stroll,Aston Martin Mercedes,63,+56.909s,4
31,9,Esteban Ocon,Alpine Renault,63,+65.704s,2
14,10,Fernando Alonso,Alpine Renault,63,+66.561s,1
11,11,Sergio Perez,Red Bull Racing Honda,63,+67.151s,0
22,12,Yuki Tsunoda,AlphaTauri Honda,63,+73.184s,0
7,13,Kimi Räikkönen,Alfa Romeo Racing Ferrari,63,+94.773s,0
99,14,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,62,+1 lap,0
5,15,Sebastian Vettel,Aston Martin Mercedes,61,DNF,0
47,16,Mick Schumacher,Haas Ferrari,61,+2 laps,0
9,17,Nikita Mazepin,Haas Ferrari,61,+2 laps,0
77,NC,Valtteri Bottas,Mercedes,30,DNF,0
63,NC,George Russell,Williams Mercedes,30,DNF,0
6,NC,Nicholas Latifi,Williams Mercedes,0,DNF,0
