,Position,Driver,Car,Time
1,1,Max Verstappen,Red Bull Racing RBPT,1:27.999
16,2,Charles Leclerc,Ferrari,1:28.778
4,3,Lando Norris,McLaren Mercedes,1:29.131
20,4,Kevin Magnussen,Haas Ferrari,1:29.164
14,5,Fernando Alonso,Alpine Renault,1:29.202
3,6,Daniel Ricciardo,McLaren Mercedes,1:29.742
11,7,Sergio Perez,Red Bull Racing RBPT,1:29.808
77,8,Valtteri Bottas,Alfa Romeo Ferrari,1:30.439
5,9,Sebastian Vettel,Aston Martin Aramco Mercedes,1:31.062
55,10,Carlos Sainz,Ferrari,
63,11,George Russell,Mercedes,1:20.757
47,12,Mick Schumacher,Haas Ferrari,1:20.916
44,13,Lewis Hamilton,Mercedes,1:21.138
24,14,Guanyu Zhou,Alfa Romeo Ferrari,1:21.434
18,15,Lance Stroll,Aston Martin Aramco Mercedes,1:28.119
22,16,Yuki Tsunoda,AlphaTauri RBPT,1:20.474
10,17,Pierre Gasly,AlphaTauri RBPT,1:20.732
6,18,Nicholas Latifi,Williams Mercedes,1:21.971
31,19,Esteban Ocon,Alpine Renault,1:22.338
23,20,Alexander Albon,Williams Mercedes,
