,Position,Driver,Car,Time
2,1,Alain Prost,Williams Renault,1:10.458
0,2,Damon Hill,Williams Renault,1:10.762
5,3,Michael Schumacher,Benetton Ford,1:12.008
8,4,Ayrton Senna,McLaren Ford,1:12.107
29,5,Karl Wendlinger,Sauber,1:12.738
7,6,Michael Andretti,McLaren Ford,1:12.739
30,7,Jyrki Jarvilehto,Sauber,1:12.763
28,8,Gerhard Berger,Ferrari,1:12.862
27,9,Jean Alesi,Ferrari,1:12.980
6,10,Riccardo Patrese,Benetton Ford,1:12.982
12,11,Johnny Herbert,Lotus Ford,1:13.328
14,12,Rubens Barrichello,Jordan Hart,1:13.514
11,13,Alessandro Zanardi,Lotus Ford,1:13.560
9,14,Derek Warwick,Footwork Mugen Honda,1:13.664
19,15,Philippe Alliot,Larrousse Lamborghini,1:13.665
23,16,Christian Fittipaldi,Minardi Ford,1:13.666
20,17,Erik Comas,Larrousse Lamborghini,1:13.970
3,18,Ukyo Katayama,Tyrrell Yamaha,1:14.121
15,19,Thierry Boutsen,Jordan Hart,1:14.246
24,20,Fabrizio Barbazza,Minardi Ford,1:14.274
26,21,Mark Blundell,Ligier Renault,1:14.301
25,22,Martin Brundle,Ligier Renault,1:14.306
10,23,Aguri Suzuki,Footwork Mugen Honda,1:14.927
21,24,Michele Alboreto,Lola Ferrari,1:15.322
4,25,Andrea de Cesaris,Tyrrell Yamaha,1:15.417
22,26,Luca Badoer,Lola Ferrari,1:15.641
