,Position,Driver,Car,Time,Laps
5,1,Michael Schumacher,Benetton Ford,1:22.762,17
0,2,Damon Hill,Williams Renault,1:22.892,23
2,3,Nigel Mansell,Williams Renault,1:23.392,24
30,4,Heinz-Harald Frentzen,Sauber Mercedes,1:23.431,18
14,5,Rubens Barrichello,Jordan Hart,1:23.455,19
28,6,Gerhard Berger,Ferrari,1:23.677,21
25,7,Johnny Herbert,Ligier Renault,1:24.040,23
10,8,Gianni Morbidelli,Footwork Ford,1:24.079,24
7,9,Mika Hakkinen,McLaren Peugeot,1:24.122,21
15,10,Eddie Irvine,Jordan Hart,1:24.157,21
26,11,Olivier Panis,Ligier Renault,1:24.432,21
6,12,Jos Verstappen,Benetton Ford,1:24.643,13
3,13,Ukyo Katayama,Tyrrell Yamaha,1:24.738,16
4,14,Mark Blundell,Tyrrell Yamaha,1:24.770,15
8,15,Martin Brundle,McLaren Peugeot,1:25.110,21
27,16,Jean Alesi,Ferrari,1:25.182,11
23,17,Pierluigi Martini,Minardi Ford,1:25.294,23
29,18,Andrea de Cesaris,Sauber Mercedes,1:25.407,13
9,19,Christian Fittipaldi,Footwork Ford,1:25.427,24
24,20,Michele Alboreto,Minardi Ford,1:25.511,23
12,21,Alessandro Zanardi,Lotus Mugen Honda,1:25.557,21
11,22,Eric Bernard,Lotus Mugen Honda,1:25.595,23
31,23,David Brabham,Simtek Ford,1:26.065,23
20,24,Erik Comas,Larrousse Ford,1:26.272,23
19,25,Hideki Noda,Larrousse Ford,1:27.168,22
32,26,Domenico Schiattarella,Simtek Ford,1:27.976,22
34,27,Bertrand Gachot,Pacific Ilmor,1:29.488,17
33,28,Paul Belmondo,Pacific Ilmor,1:30.234,21
