,Position,Driver,Car,Lap,Time,Avg Speed
1,1,Mika Hakkinen,McLaren Mercedes,64,1:21.282,201.786
2,2,David Coulthard,McLaren Mercedes,29,1:21.835,200.422
8,3,Heinz-Harald Frentzen,Jordan Mugen Honda,29,1:22.082,199.819
6,4,Ralf Schumacher,Williams Supertec,64,1:22.237,199.443
9,5,Giancarlo Fisichella,Benetton Playlife,31,1:22.244,199.426
4,6,Eddie Irvine,Ferrari,65,1:22.332,199.212
22,7,Jacques Villeneuve,BAR Supertec,32,1:22.564,198.653
16,8,Rubens Barrichello,Stewart Ford,32,1:22.960,197.704
17,9,Johnny Herbert,Stewart Ford,32,1:23.010,197.585
23,10,Ricardo Zonta,BAR Supertec,64,1:23.067,197.450
11,11,Jean Alesi,Sauber Petronas,15,1:23.097,197.378
3,12,Mika Salo,Ferrari,31,1:23.404,196.652
21,13,Marc Gene,Minardi Ford,30,1:23.657,196.057
19,14,Jarno Trulli,Prost Peugeot,30,1:23.742,195.858
20,15,Luca Badoer,Minardi Ford,33,1:23.745,195.851
18,16,Olivier Panis,Prost Peugeot,16,1:23.905,195.478
5,17,Alessandro Zanardi,Williams Supertec,9,1:24.300,194.562
15,18,Toranosuke Takagi,Arrows,30,1:24.848,193.305
14,19,Pedro de la Rosa,Arrows,8,1:24.857,193.285
