,Position,Driver,Car,Laps,Time,Points
1,1,Michael Schumacher,Ferrari,67,1:29:42.724,10
6,2,Juan Pablo Montoya,Williams BMW,67,+4.217s,6
4,3,David Coulthard,McLaren Mercedes,67,+24.993s,4
5,4,Ralf Schumacher,Williams BMW,67,+33.345s,3
2,5,Rubens Barrichello,Ferrari,67,+45.495s,2
3,6,Mika Hakkinen,McLaren Mercedes,67,+64.868s,1
18,7,Eddie Irvine,Jaguar Cosworth,67,+66.198s,0
19,8,Pedro de la Rosa,Jaguar Cosworth,66,+1 lap,0
10,9,Jacques Villeneuve,BAR Honda,66,+1 lap,0
17,10,Kimi Räikkönen,Sauber Petronas,66,+1 lap,0
7,11,Giancarlo Fisichella,Benetton Renault,66,+1 lap,0
23,12,Luciano Burti,Prost Acer,65,+2 laps,0
8,13,Jenson Button,Benetton Renault,65,+2 laps,0
21,14,Fernando Alonso,Minardi European,65,+2 laps,0
22,15,Jean Alesi,Prost Acer,64,DNF,0
14,NC,Jos Verstappen,Arrows Asiatech,58,DNF,0
16,NC,Nick Heidfeld,Sauber Petronas,54,DNF,0
11,NC,Heinz-Harald Frentzen,Jordan Honda,48,DNF,0
12,NC,Jarno Trulli,Jordan Honda,44,DNF,0
15,NC,Enrique Bernoldi,Arrows Asiatech,29,DNF,0
9,NC,Olivier Panis,BAR Honda,23,DNF,0
20,NC,Tarso Marques,Minardi European,7,DNF,0
