,Position,Driver,Car,Time
6,1,Juan Pablo Montoya,Williams BMW,1:29.906
5,2,Ralf Schumacher,Williams BMW,1:29.915
1,3,Michael Schumacher,Ferrari,1:30.035
2,4,Rubens Barrichello,Ferrari,1:30.387
3,5,David Coulthard,McLaren Mercedes,1:30.550
4,6,Kimi Räikkönen,McLaren Mercedes,1:30.591
14,7,Jarno Trulli,Renault,1:30.927
15,8,Jenson Button,Renault,1:31.136
7,9,Nick Heidfeld,Sauber Petronas,1:31.211
24,10,Mika Salo,Toyota,1:31.389
8,11,Felipe Massa,Sauber Petronas,1:31.733
12,12,Olivier Panis,BAR Honda,1:31.906
25,13,Allan McNish,Toyota,1:31.941
10,14,Takuma Sato,Jordan Honda,1:31.999
20,15,Heinz-Harald Frentzen,Arrows Cosworth,1:32.144
17,16,Pedro de la Rosa,Jaguar Cosworth,1:32.281
16,17,Eddie Irvine,Jaguar Cosworth,1:32.510
9,18,Giancarlo Fisichella,Jordan Honda,1:32.591
11,19,Jacques Villeneuve,BAR Honda,1:32.968
23,20,Mark Webber,Minardi Asiatech,1:32.996
21,21,Enrique Bernoldi,Arrows Cosworth,1:33.360
22,22,Alex Yoong,Minardi Asiatech,1:34.251
