,Position,Driver,Car,Q1,Q2,Q3,Laps
1,1,Lewis Hamilton,McLaren Mercedes,1:38.649,1:38.182,1:39.498,15
2,2,Heikki Kovalainen,McLaren Mercedes,1:38.816,1:38.230,1:39.532,26
23,3,Rubens Barrichello,Brawn Mercedes,1:39.019,1:38.076,1:39.563,21
15,4,Sebastian Vettel,RBR Renault,1:39.295,1:38.273,1:39.789,21
22,5,Jenson Button,Brawn Mercedes,1:38.531,1:38.601,1:39.821,22
4,6,Kimi Räikkönen,Ferrari,1:38.843,1:38.782,1:40.144,25
16,7,Nico Rosberg,Williams Toyota,1:39.039,1:38.346,1:40.185,25
7,8,Fernando Alonso,Renault,1:39.155,1:38.717,1:40.236,21
14,9,Mark Webber,RBR Renault,1:38.983,1:38.625,1:40.239,21
5,10,Robert Kubica,Sauber BMW,1:38.806,1:38.747,1:40.512,23
6,11,Nick Heidfeld,Sauber BMW,1:39.032,1:38.826,,17
20,12,Adrian Sutil,Force India Mercedes,1:39.145,1:38.846,,18
10,13,Timo Glock,Toyota,1:39.459,1:38.991,,15
8,14,Romain Grosjean,Renault,1:39.322,1:39.040,,16
12,15,Sebastien Buemi,STR Ferrari,1:38.912,1:39.514,,17
21,16,Giancarlo Fisichella,Force India Mercedes,1:39.531,,,11
17,17,Kazuki Nakajima,Williams Toyota,1:39.795,,,8
9,18,Jarno Trulli,Toyota,1:39.807,,,10
11,19,Jaime Alguersuari,STR Ferrari,1:39.925,,,10
3,20,Luca Badoer,Ferrari,1:41.413,,,13
