,Position,Driver,Car,Time / Gap,Laps
20,1,Adrian Sutil,Force India Mercedes,1:39.143,12
17,2,Kazuki Nakajima,Williams Toyota,+0.104s,12
5,3,Robert Kubica,Sauber BMW,+0.370s,12
2,4,Heikki Kovalainen,McLaren Mercedes,+0.410s,8
16,5,Nico Rosberg,Williams Toyota,+0.589s,11
21,6,Giancarlo Fisichella,Force India Mercedes,+0.621s,12
22,7,Jenson Button,Brawn Mercedes,+0.740s,10
1,8,Lewis Hamilton,McLaren Mercedes,+0.807s,12
9,9,Jarno Trulli,Toyota,+0.874s,11
8,10,Romain Grosjean,Renault,+0.945s,11
12,11,Sebastien Buemi,STR Ferrari,+0.975s,12
23,12,Rubens Barrichello,Brawn Mercedes,+1.049s,10
6,13,Nick Heidfeld,Sauber BMW,+1.087s,12
4,14,Kimi Räikkönen,Ferrari,+1.117s,12
7,15,Fernando Alonso,Renault,+1.259s,9
10,16,Timo Glock,Toyota,+1.300s,10
14,17,Mark Webber,RBR Renault,+1.736s,10
15,18,Sebastian Vettel,RBR Renault,+1.773s,6
11,19,Jaime Alguersuari,STR Ferrari,+1.982s,12
3,20,Luca Badoer,Ferrari,+3.055s,14
