,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
6,1,Nico Rosberg,Mercedes,48,1:46.485,202.946,18:31:12
44,2,Lewis Hamilton,Mercedes,42,1:46.822,202.306,18:21:09
33,3,Max Verstappen,Red Bull Racing TAG Heuer,50,1:46.973,202.021,18:36:01
11,4,Sergio Perez,Force India Mercedes,45,1:46.990,201.988,18:26:17
5,5,Sebastian Vettel,Ferrari,49,1:47.028,201.917,18:33:18
7,6,Kimi Räikkönen,Ferrari,41,1:47.181,201.629,18:19:05
21,7,Esteban Gutierrez ,Haas Ferrari,50,1:47.563,200.912,18:37:14
30,8,Jolyon Palmer,Renault,48,1:47.583,200.875,18:33:30
77,9,Valtteri Bottas,Williams Mercedes,50,1:47.604,200.836,18:35:49
22,10,Jenson Button,McLaren Honda,50,1:47.622,200.802,18:36:33
12,11,Felipe Nasr,Sauber Ferrari,48,1:47.708,200.642,18:33:04
3,12,Daniel Ricciardo,Red Bull Racing TAG Heuer,51,1:47.736,200.590,18:37:46
19,13,Felipe Massa,Williams Mercedes,35,1:47.761,200.543,18:08:58
8,14,Romain Grosjean,Haas Ferrari,48,1:47.943,200.205,18:33:08
27,15,Nico Hulkenberg,Force India Mercedes,37,1:48.012,200.077,18:12:29
55,16,Carlos Sainz,Toro Rosso Ferrari,31,1:48.804,198.621,18:02:08
9,17,Marcus Ericsson,Sauber Ferrari,48,1:48.898,198.449,18:33:49
14,18,Fernando Alonso,McLaren Honda,27,1:49.101,198.080,17:54:46
20,19,Kevin Magnussen,Renault,41,1:49.282,197.752,18:20:17
94,20,Pascal Wehrlein,MRT Mercedes,33,1:50.571,195.447,18:06:23
88,21,Rio Haryanto,MRT Mercedes,27,1:51.365,194.053,17:55:12
26,22,Daniil Kvyat,Toro Rosso Ferrari,2,1:53.167,190.963,17:07:37
