,Position,Driver,Car,Laps,Time,Points
12,1,Niki Lauda,Ferrari,54,1:40:18.840,9
24,2,James Hunt,Hesketh Ford,54,+1.590s,6
2,3,Jochen Mass,McLaren Ford,54,+2.310s,4
1,4,Emerson Fittipaldi,McLaren Ford,54,+39.770s,3
27,5,Mario Andretti,Parnelli Ford,54,+62.080s,2
4,6,Patrick Depailler,Tyrrell Ford,54,+67.400s,1
23,7,Tony Brise,Hill Ford,54,+69.610s,0
17,8,Jean-Pierre Jarier,Shadow Ford,54,+79.780s,0
3,9,Jody Scheckter,Tyrrell Ford,54,+91.680s,0
5,10,Ronnie Peterson,Lotus Ford,54,+96.020s,0
21,11,Jacques Laffite,Frank Williams Racing Cars/Williams,54,+96.770s,0
15,12,Jean-Pierre Jabouille,Tyrrell Ford,54,+97.130s,0
18,13,John Watson,Surtees Ford,53,+1 lap,0
7,14,Carlos Reutemann,Brabham Ford,53,+1 lap,0
31,15,Gijs van Lennep,Ensign Ford,53,+1 lap,0
22,16,Alan  Jones,Hill Ford,53,+1 lap,0
14,17,Bob Evans,BRM,52,+2 laps,0
10,18,Lella Lombardi,March Ford,50,+4 laps,0
8,NC,Carlos Pace,Brabham Ford,26,DNF,0
6,NC,Jacky Ickx,Lotus Ford,17,DNF,0
30,NC,Wilson Fittipaldi,Fittipaldi Ford,14,DNF,0
28,NC,Mark Donohue,Penske Ford,6,DNF,0
9,NC,Vittorio Brambilla,March Ford,6,DNF,0
11,NC,Clay Regazzoni,Ferrari,6,DNF,0
16,NC,Tom Pryce,Shadow Ford,2,DNF,0
