,Position,Driver,Car,Time / Gap
2,1,Nigel Mansell,Ferrari,1:05.473
20,2,Nelson Piquet,Benetton Ford,+0.210s
6,3,Riccardo Patrese,Williams Renault,+0.250s
1,4,Alain Prost,Ferrari,+0.378s
28,5,Gerhard Berger,McLaren Honda,+0.481s
15,6,Mauricio Gugelmin,Leyton House Judd,+0.645s
19,7,Alessandro Nannini,Benetton Ford,+0.677s
4,8,Jean Alesi,Tyrrell Ford,+0.735s
29,9,Eric Bernard,Lola Lamborghini,+0.840s
27,10,Ayrton Senna,McLaren Honda,+0.994s
26,11,Philippe Alliot,Ligier Ford,+1.025s
5,12,Thierry Boutsen,Williams Renault,+1.387s
10,13,Alex Caffi,Arrows Ford,+1.450s
16,14,Ivan Capelli,Leyton House Judd,+1.613s
23,15,Pierluigi Martini,Minardi Ford,+1.753s
9,16,Michele Alboreto,Arrows Ford,+1.766s
25,17,Nicola Larini,Ligier Ford,+1.817s
12,18,Martin Donnelly,Lotus Lamborghini,+1.855s
11,19,Derek Warwick,Lotus Lamborghini,+1.985s
21,20,Emanuele Pirro,Dallara Ford,+2.113s
30,21,Aguri Suzuki,Lola Lamborghini,+2.115s
18,22,Yannick Dalmas,AGS Ford,+2.134s
8,23,Stefano Modena,Brabham Judd,+2.213s
24,24,Paolo Barilla,Minardi Ford,+2.538s
22,25,Andrea de Cesaris,Dallara Ford,+2.609s
17,26,Gabriele Tarquini,AGS Ford,+2.727s
36,27,Jyrki Jarvilehto,Onyx Ford,+3.066s
35,28,Gregor Foitek,Onyx Ford,+3.117s
3,29,Satoru Nakajima,Tyrrell Ford,+4.392s
7,30,David Brabham,Brabham Judd,+5.444s
