,Position,Driver,Car,Time
2,1,Nigel Mansell,Ferrari,1:04.402
28,2,Gerhard Berger,McLaren Honda,1:04.512
27,3,Ayrton Senna,McLaren Honda,1:04.549
1,4,Alain Prost,Ferrari,1:04.781
19,5,Alessandro Nannini,Benetton Ford,1:05.009
6,6,Riccardo Patrese,Williams Renault,1:05.059
16,7,Ivan Capelli,Leyton House Judd,1:05.369
5,8,Thierry Boutsen,Williams Renault,1:05.446
20,9,Nelson Piquet,Benetton Ford,1:05.640
15,10,Mauricio Gugelmin,Leyton House Judd,1:05.818
29,11,Eric Bernard,Lola Lamborghini,1:05.852
26,12,Philippe Alliot,Ligier Ford,1:05.986
4,13,Jean Alesi,Tyrrell Ford,1:06.084
30,14,Aguri Suzuki,Lola Lamborghini,1:06.100
3,15,Satoru Nakajima,Tyrrell Ford,1:06.563
11,16,Derek Warwick,Lotus Lamborghini,1:06.624
12,17,Martin Donnelly,Lotus Lamborghini,1:06.647
9,18,Michele Alboreto,Arrows Ford,1:06.847
25,19,Nicola Larini,Ligier Ford,1:06.856
8,20,Stefano Modena,Brabham Judd,1:06.937
22,21,Andrea de Cesaris,Dallara Ford,1:07.137
10,22,Alex Caffi,Arrows Ford,1:07.207
23,23,Pierluigi Martini,Minardi Ford,1:07.315
21,24,Emanuele Pirro,Dallara Ford,1:07.687
7,25,David Brabham,Brabham Judd,1:07.733
18,26,Yannick Dalmas,AGS Ford,1:07.926
