,Position,Driver,Car,Time,Laps
1,1,Michael Schumacher,Ferrari,1:15.989,10
5,2,Damon Hill,Williams Renault,1:16.058,12
3,3,Jean Alesi,Benetton Renault,1:16.310,10
4,4,Gerhard Berger,Benetton Renault,1:16.592,12
7,5,Mika Hakkinen,McLaren Mercedes,1:16.634,12
6,6,Jacques Villeneuve,Williams Renault,1:16.905,12
8,7,David Coulthard,McLaren Mercedes,1:17.007,12
12,8,Martin Brundle,Jordan Peugeot,1:17.187,12
9,9,Olivier Panis,Ligier Mugen Honda,1:17.390,10
2,10,Eddie Irvine,Ferrari,1:17.443,12
11,11,Rubens Barrichello,Jordan Peugeot,1:17.665,12
10,12,Pedro Diniz,Ligier Mugen Honda,1:17.676,12
15,13,Heinz-Harald Frentzen,Sauber Ford,1:17.739,12
19,14,Mika Salo,Tyrrell Yamaha,1:18.021,12
18,15,Ukyo Katayama,Tyrrell Yamaha,1:18.242,12
17,16,Jos Verstappen,Footwork Hart,1:18.324,12
14,17,Johnny Herbert,Sauber Ford,1:18.556,12
21,18,Giancarlo Fisichella,Minardi Ford,1:18.604,10
20,19,Pedro Lamy,Minardi Ford,1:19.210,12
16,20,Ricardo Rosset,Footwork Hart,1:19.242,12
22,21,Luca Badoer,Forti Ford,1:20.562,11
23,22,Andrea Montermini,Forti Ford,1:20.647,12
