,Position,Driver,Car,Lap,Time
5,1,Michael Schumacher,Ferrari,37,1:17.910
4,2,Heinz-Harald Frentzen,Williams Renault,46,1:18.136
3,3,Jacques Villeneuve,Williams Renault,27,1:18.649
8,4,Alexander Wurz,Benetton Renault,35,1:18.684
22,5,Rubens Barrichello,Stewart Ford,27,1:18.781
6,6,Eddie Irvine,Ferrari,20,1:19.029
7,7,Jean Alesi,Benetton Renault,27,1:19.055
11,8,Ralf Schumacher,Jordan Peugeot,27,1:19.225
12,9,Giancarlo Fisichella,Jordan Peugeot,34,1:19.225
10,10,David Coulthard,McLaren Mercedes,37,1:19.317
14,11,Jarno Trulli,Prost Mugen Honda,32,1:19.417
17,12,Norberto Fontana,Sauber Petronas,35,1:19.849
23,13,Jan Magnussen,Stewart Ford,32,1:19.912
9,14,Mika Hakkinen,McLaren Mercedes,14,1:20.153
19,15,Mika Salo,Tyrrell Ford,31,1:20.385
1,16,Damon Hill,Arrows Yamaha,42,1:20.434
20,17,Ukyo Katayama,Minardi Hart,26,1:20.534
2,18,Pedro Diniz,Arrows Yamaha,55,1:20.557
15,19,Shinji Nakano,Prost Mugen Honda,7,1:20.662
16,20,Johnny Herbert,Sauber Petronas,40,1:20.845
18,21,Jos Verstappen,Tyrrell Ford,15,1:22.034
21,22,Tarso Marques,Minardi Hart,4,1:22.325
