,Position,Driver,Car,Lap,Time,Avg Speed
3,1,David Coulthard,McLaren Mercedes,62,1:15.045,203.925
1,2,Michael Schumacher,Ferrari,25,1:15.311,203.205
4,3,Kimi Räikkönen,McLaren Mercedes,54,1:15.406,202.949
5,4,Ralf Schumacher,Williams BMW,24,1:15.584,202.471
6,5,Juan Pablo Montoya,Williams BMW,26,1:15.697,202.169
15,6,Jenson Button,Renault,22,1:15.957,201.477
12,7,Olivier Panis,BAR Honda,4,1:16.278,200.629
14,8,Jarno Trulli,Renault,20,1:16.300,200.571
16,9,Eddie Irvine,Jaguar Cosworth,20,1:16.456,200.162
17,10,Pedro de la Rosa,Jaguar Cosworth,58,1:16.515,200.007
11,11,Jacques Villeneuve,BAR Honda,23,1:16.667,199.611
7,12,Nick Heidfeld,Sauber Petronas,22,1:16.847,199.143
8,13,Felipe Massa,Sauber Petronas,46,1:17.029,198.673
23,14,Mark Webber,Minardi Asiatech,26,1:17.087,198.523
24,15,Mika Salo,Toyota,28,1:17.295,197.989
25,16,Allan McNish,Toyota,47,1:17.304,197.966
10,17,Takuma Sato,Jordan Honda,6,1:17.565,197.300
22,18,Alex Yoong,Minardi Asiatech,37,1:18.998,193.721
