,Position,Driver,Car,Time / Gap,Laps
5,1,Fernando Alonso,Renault,1:15.778,37
2,2,Felipe Massa,Ferrari,+0.076s,24
1,3,Kimi Räikkönen,Ferrari,+0.221s,42
22,4,Lewis Hamilton,McLaren Mercedes,+0.454s,29
15,5,Sebastian Vettel,STR Ferrari,+0.520s,42
4,6,Robert Kubica,Sauber BMW,+0.539s,35
23,7,Heikki Kovalainen,McLaren Mercedes,+0.562s,36
3,8,Nick Heidfeld,Sauber BMW,+0.680s,43
6,9,Nelson Piquet,Renault,+0.765s,39
9,10,David Coulthard,Red Bull Renault,+0.794s,36
7,11,Nico Rosberg,Williams Toyota,+0.904s,42
11,12,Jarno Trulli,Toyota,+0.965s,43
14,13,Sebastien Bourdais,STR Ferrari,+0.980s,42
8,14,Kazuki Nakajima,Williams Toyota,+1.224s,32
12,15,Timo Glock,Toyota,+1.314s,39
10,16,Mark Webber,Red Bull Renault,+1.328s,38
16,17,Jenson Button,Honda,+1.466s,37
21,18,Giancarlo Fisichella,Force India Ferrari,+1.616s,42
17,19,Rubens Barrichello,Honda,+1.813s,27
20,20,Adrian Sutil,Force India Ferrari,+2.090s,33
