,Position,Driver,Car,Q1,Q2,Q3,Laps
44,1,Lewis Hamilton,Mercedes,1:31.271,1:30.645,1:30.029,19
77,2,Valtteri Bottas,Mercedes,1:31.776,1:31.227,1:30.147,17
5,3,Sebastian Vettel,Ferrari,1:31.820,1:30.751,1:30.400,22
33,4,Max Verstappen,Red Bull Racing TAG Heuer,1:31.531,1:30.818,1:30.705,20
3,5,Daniel Ricciardo,Red Bull Racing TAG Heuer,1:31.910,1:31.538,1:30.895,20
7,6,Kimi Räikkönen,Ferrari,1:31.567,1:30.772,1:31.057,22
55,7,Carlos Sainz,Renault,1:32.394,1:32.016,1:32.126,23
16,8,Charles Leclerc,Sauber Ferrari,1:32.538,1:32.055,1:32.635,22
20,9,Kevin Magnussen,Haas Ferrari,1:32.169,1:31.510,1:32.930,24
8,10,Romain Grosjean,Haas Ferrari,1:32.083,1:31.472,DNF,20
31,11,Esteban Ocon,Force India Mercedes,1:32.786,1:32.075,,14
27,12,Nico Hulkenberg,Renault,1:32.949,1:32.115,,15
11,13,Sergio Perez,Force India Mercedes,1:32.692,1:32.454,,15
10,14,Pierre Gasly,Scuderia Toro Rosso Honda,1:32.447,1:32.460,,17
9,15,Marcus Ericsson,Sauber Ferrari,1:32.804,1:32.820,,18
14,16,Fernando Alonso,McLaren Renault,1:32.976,,,10
28,17,Brendon Hartley,Scuderia Toro Rosso Honda,1:33.025,,,10
2,18,Stoffel Vandoorne,McLaren Renault,1:33.162,,,10
35,19,Sergey Sirotkin,Williams Mercedes,1:33.636,,,9
18,20,Lance Stroll,Williams Mercedes,1:33.729,,,10
