,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
55,1,Carlos Sainz,Ferrari,51,1:35.781,219.575,16:30:58
1,2,Max Verstappen,Red Bull Racing RBPT,30,1:37.491,215.724,15:55:33
63,3,George Russell,Mercedes,51,1:37.548,215.598,16:30:42
44,4,Lewis Hamilton,Mercedes,30,1:37.668,215.333,15:55:37
11,5,Sergio Perez,Red Bull Racing RBPT,45,1:37.780,215.086,16:20:19
77,6,Valtteri Bottas,Alfa Romeo Ferrari,52,1:37.963,214.685,16:33:20
16,7,Charles Leclerc,Ferrari,4,1:38.088,214.411,15:10:18
14,8,Fernando Alonso,Alpine Renault,53,1:38.160,214.254,16:34:25
31,9,Esteban Ocon,Alpine Renault,53,1:38.684,213.116,16:34:39
10,10,Pierre Gasly,AlphaTauri RBPT,53,1:38.786,212.896,16:34:48
4,11,Lando Norris,McLaren Mercedes,43,1:39.037,212.356,16:17:27
5,12,Sebastian Vettel,Aston Martin Aramco Mercedes,43,1:39.044,212.341,16:17:38
47,13,Mick Schumacher,Haas Ferrari,48,1:39.068,212.290,16:26:11
3,14,Daniel Ricciardo,McLaren Mercedes,27,1:39.133,212.151,15:50:57
18,15,Lance Stroll,Aston Martin Aramco Mercedes,52,1:39.185,212.040,16:33:04
23,16,Alexander Albon,Williams Mercedes,53,1:39.199,212.010,16:34:51
20,17,Kevin Magnussen,Haas Ferrari,11,1:39.265,211.869,15:22:45
24,18,Guanyu Zhou,Alfa Romeo Ferrari,25,1:39.368,211.649,15:48:37
6,19,Nicholas Latifi,Williams Mercedes,40,1:39.650,211.050,16:13:35
22,20,Yuki Tsunoda,AlphaTauri RBPT,4,1:40.216,209.858,15:10:44
