,Position,Driver,Car,Time
18,1,Juan Manuel Fangio,Mercedes-Benz,9:50.100
3,2,Mike Hawthorn,Ferrari,9:53.300
16,3,Stirling Moss,Maserati,10:00.700
20,4,Hans  Herrmann,Mercedes-Benz,10:01.500
1,5,Jose Froilan Gonzalez,Ferrari,10:01.800
10,6,Paul Frere,Gordini,10:05.900
2,7,Maurice  Trintignant,Ferrari,10:07.500
9,9,Jean Behra,Gordini,10:11.900
21,11,Hermann Lang,Mercedes-Benz,10:13.100
24,12,Robert  Manzon,Maserati,10:16.100
4,13,Piero  Taruffi,Ferrari,10:23.000
15,14,Harry Schell,Maserati,10:28.700
7,15,Sergio Mantovani,Maserati,10:39.100
11,16,Clemar Bucci,Gordini,10:43.700
8,19,Prince Bira,Maserati,11:10.300
25,18,Louis  Rosier,Maserati,11:04.300
12,20,Andre Pilette,Gordini,11:13.400
22,21,Theo Helfrich,Klenk BMW,11:18.300
19,23,Karl Kling,Mercedes-Benz,
