,Position,Driver,Car,Time
26,1,Philippe Alliot,Ligier Ford,1:45.513
27,1,Ayrton Senna,McLaren Honda,1:40.198
28,2,Gerhard Berger,McLaren Honda,1:40.434
25,2,Nicola Larini,Ligier Ford,1:46.186
14,3,Olivier Grouillard,Osella Ford,1:46.828
1,3,Alain Prost,Ferrari,1:41.732
2,4,Nigel Mansell,Ferrari,1:42.057
18,4,Yannick Dalmas,AGS Ford,1:47.125
6,5,Riccardo Patrese,Williams Renault,1:42.195
17,5,Gabriele Tarquini,AGS Ford,1:48.127
33,6,Roberto Moreno,Euro Brun Judd,1:48.983
5,6,Thierry Boutsen,Williams Renault,1:42.380
20,7,Nelson Piquet,Benetton Ford,1:42.872
31,7,Bertrand Gachot,Coloni Ford,1:50.460
34,8,Claudio Langes,Euro Brun Judd,1:50.897
4,8,Jean Alesi,Tyrrell Ford,1:43.255
19,9,Alessandro Nannini,Benetton Ford,1:43.594
39,9,Bruno Giacomelli,Life,2:10.786
16,10,Ivan Capelli,Leyton House Judd,1:44.349
30,11,Aguri Suzuki,Lola Lamborghini,1:44.363
29,12,Eric Bernard,Lola Lamborghini,1:44.496
3,13,Satoru Nakajima,Tyrrell Ford,1:44.650
15,14,Mauricio Gugelmin,Leyton House Judd,1:45.193
23,15,Pierluigi Martini,Minardi Ford,1:45.237
11,16,Derek Warwick,Lotus Lamborghini,1:45.244
8,17,Stefano Modena,Brabham Judd,1:45.547
10,18,Alex Caffi,Arrows Ford,1:45.604
9,19,Michele Alboreto,Arrows Ford,1:45.755
12,20,Martin Donnelly,Lotus Lamborghini,1:45.790
7,21,David Brabham,Brabham Judd,1:46.110
21,23,Emanuele Pirro,Dallara Ford,1:46.506
36,25,Jyrki Jarvilehto,Onyx Ford,1:46.857
35,26,Gregor Foitek,Onyx Ford,1:47.209
24,28,Paolo Barilla,Minardi Ford,1:47.747
22,30,Andrea de Cesaris,Dallara Ford,1:48.032
