,Position,Driver,Car,Lap,Time
5,1,Damon Hill,Williams Renault,26,1:46.504
3,2,Jean Alesi,Benetton Renault,3,1:47.643
4,3,Gerhard Berger,Benetton Renault,22,1:47.682
8,4,David Coulthard,McLaren Mercedes,31,1:47.856
6,5,Jacques Villeneuve,Williams Renault,25,1:47.903
9,6,Olivier Panis,Ligier Mugen Honda,6,1:48.288
2,7,Eddie Irvine,Ferrari,8,1:48.336
7,8,Mika Hakkinen,McLaren Mercedes,8,1:48.490
1,9,Michael Schumacher,Ferrari,11,1:48.612
12,10,Martin Brundle,Jordan Peugeot,24,1:49.176
11,11,Rubens Barrichello,Jordan Peugeot,26,1:49.559
10,12,Pedro Diniz,Ligier Mugen Honda,6,1:49.625
15,13,Heinz-Harald Frentzen,Sauber Ford,34,1:49.773
14,14,Johnny Herbert,Sauber Ford,18,1:50.304
19,15,Mika Salo,Tyrrell Yamaha,25,1:50.553
18,16,Ukyo Katayama,Tyrrell Yamaha,19,1:50.569
20,17,Pedro Lamy,Minardi Ford,6,1:51.654
16,18,Ricardo Rosset,Footwork Hart,5,1:51.702
