,Position,Driver,Car,Time / Gap,Laps
7,1,Damon Hill,Jordan Mugen Honda,1:43.918,28
1,2,Mika Hakkinen,McLaren Mercedes,+0.083s,24
16,3,Rubens Barrichello,Stewart Ford,+0.201s,23
8,4,Heinz-Harald Frentzen,Jordan Mugen Honda,+0.224s,24
18,5,Olivier Panis,Prost Peugeot,+0.524s,30
2,6,David Coulthard,McLaren Mercedes,+0.608s,24
4,7,Eddie Irvine,Ferrari,+0.777s,26
19,8,Jarno Trulli,Prost Peugeot,+0.808s,27
3,9,Mika Salo,Ferrari,+0.921s,25
22,10,Jacques Villeneuve,BAR Supertec,+0.942s,27
6,11,Ralf Schumacher,Williams Supertec,+1.042s,21
9,12,Giancarlo Fisichella,Benetton Playlife,+1.510s,29
10,13,Alexander Wurz,Benetton Playlife,+1.733s,29
21,14,Marc Gene,Minardi Ford,+1.733s,19
5,15,Alessandro Zanardi,Williams Supertec,+1.791s,29
12,16,Pedro Diniz,Sauber Petronas,+1.920s,33
23,17,Ricardo Zonta,BAR Supertec,+1.976s,17
11,18,Jean Alesi,Sauber Petronas,+2.238s,22
14,19,Pedro de la Rosa,Arrows,+2.306s,21
20,20,Luca Badoer,Minardi Ford,+2.625s,14
15,21,Toranosuke Takagi,Arrows,+2.814s,18
17,22,Johnny Herbert,Stewart Ford,+571.766s,5
