,Position,Driver,Car,Lap,Time,Avg Speed
6,1,Kimi Räikkönen,McLaren Mercedes,10,1:13.780,223.182
1,2,Michael Schumacher,Ferrari,5,1:13.783,223.173
9,3,Jenson Button,BAR Honda,11,1:14.117,222.167
17,4,Olivier Panis,Toyota,59,1:14.247,221.778
8,5,Fernando Alonso,Renault,8,1:14.265,221.724
7,6,Jarno Trulli,Renault,9,1:14.386,221.364
3,7,Juan Pablo Montoya,Williams BMW,10,1:14.446,221.185
5,8,David Coulthard,McLaren Mercedes,8,1:14.558,220.853
10,9,Takuma Sato,BAR Honda,29,1:14.585,220.773
4,10,Antonio Pizzonia,Williams BMW,65,1:14.586,220.770
14,11,Mark Webber,Jaguar Cosworth,65,1:14.883,219.895
2,12,Rubens Barrichello,Ferrari,59,1:14.963,219.660
15,13,Christian Klien,Jaguar Cosworth,33,1:15.045,219.420
16,14,Cristiano da Matta,Toyota,20,1:15.145,219.128
11,15,Giancarlo Fisichella,Sauber Petronas,39,1:15.635,217.708
19,16,Giorgio Pantano,Jordan Ford,63,1:16.058,216.497
12,17,Felipe Massa,Sauber Petronas,61,1:16.248,215.958
18,18,Nick Heidfeld,Jordan Ford,20,1:16.903,214.119
20,19,Gianmaria Bruni,Minardi Cosworth,52,1:18.372,210.105
21,20,Zsolt Baumgartner,Minardi Cosworth,18,1:18.760,209.070
