,Position,Driver,Car,Time,Laps
1,1,Michael Schumacher,Ferrari,1:13.306,6
3,2,Juan Pablo Montoya,Williams BMW,1:13.668,6
9,3,Jenson Button,BAR Honda,1:13.674,6
6,4,Kimi Räikkönen,McLaren Mercedes,1:13.690,6
5,5,David Coulthard,McLaren Mercedes,1:13.821,6
8,6,Fernando Alonso,Renault,1:13.874,6
7,7,Jarno Trulli,Renault,1:14.134,6
2,8,Rubens Barrichello,Ferrari,1:14.278,6
10,9,Takuma Sato,BAR Honda,1:14.287,6
17,10,Olivier Panis,Toyota,1:14.368,6
4,11,Antonio Pizzonia,Williams BMW,1:14.556,6
14,12,Mark Webber,Jaguar Cosworth,1:14.802,6
15,13,Christian Klien,Jaguar Cosworth,1:15.011,6
11,14,Giancarlo Fisichella,Sauber Petronas,1:15.395,6
16,15,Cristiano da Matta,Toyota,1:15.454,6
12,16,Felipe Massa,Sauber Petronas,1:15.616,6
19,17,Giorgio Pantano,Jordan Ford,1:16.192,6
18,18,Nick Heidfeld,Jordan Ford,1:16.310,6
20,19,Gianmaria Bruni,Minardi Cosworth,1:18.055,6
21,20,Zsolt Baumgartner,Minardi Cosworth,1:18.400,6
