,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
44,1,Lewis Hamilton,Mercedes,53,1:19.908,206.066,15:18:17
20,2,Kevin Magnussen,McLaren Mercedes,56,1:20.224,205.255,15:23:19
14,3,Fernando Alonso,Ferrari,57,1:20.548,204.429,15:24:01
11,4,Sergio Perez,Force India Mercedes,54,1:20.752,203.913,15:20:42
3,5,Daniel Ricciardo,Red Bull Racing Renault,53,1:20.846,203.676,15:18:35
6,6,Nico Rosberg,Mercedes,67,1:21.298,202.543,15:36:55
7,7,Kimi Räikkönen,Ferrari,55,1:21.338,202.444,15:22:05
22,8,Jenson Button,McLaren Mercedes,64,1:21.346,202.424,15:34:03
77,9,Valtteri Bottas,Williams Mercedes,45,1:21.494,202.056,15:07:07
1,10,Sebastian Vettel,Red Bull Racing Renault,39,1:21.545,201.930,14:58:56
25,11,Jean-Eric Vergne,STR Renault,58,1:21.876,201.113,15:26:24
21,12,Esteban Gutierrez ,Sauber Ferrari,61,1:22.008,200.790,15:30:35
27,13,Nico Hulkenberg,Force India Mercedes,44,1:22.098,200.570,15:06:12
26,14,Daniil Kvyat,STR Renault,34,1:22.179,200.372,14:52:55
13,15,Pastor Maldonado,Lotus Renault,41,1:22.305,200.065,15:02:32
17,16,Jules Bianchi,Marussia Ferrari,57,1:22.522,199.539,15:25:31
99,17,Adrian Sutil,Sauber Ferrari,41,1:22.529,199.522,15:02:27
10,18,Kamui Kobayashi,Caterham Renault,50,1:22.866,198.711,15:16:24
4,19,Max Chilton,Marussia Ferrari,50,1:23.035,198.306,15:16:25
9,20,Marcus Ericsson,Caterham Renault,49,1:23.230,197.842,15:15:16
8,21,Romain Grosjean,Lotus Renault,26,1:24.137,195.709,14:41:31
