,Position,Driver,Car,Q1,Q2,Q3,Laps
5,1,Sebastian Vettel,Ferrari,1:12.538,1:12.505,1:11.212,16
77,2,Valtteri Bottas,Mercedes,1:12.962,1:12.152,1:11.416,18
7,3,Kimi Räikkönen,Ferrari,1:12.505,1:12.336,1:11.547,17
33,4,Max Verstappen,Red Bull Racing TAG Heuer,1:13.127,1:12.188,1:11.822,18
20,5,Kevin Magnussen,Haas Ferrari,1:13.105,1:12.523,1:12.200,18
8,6,Romain Grosjean,Haas Ferrari,1:12.986,1:12.722,1:12.544,17
27,7,Nico Hulkenberg,Renault,1:13.479,1:12.946,1:12.560,17
55,8,Carlos Sainz,Renault,1:13.324,1:13.032,1:12.692,19
16,9,Charles Leclerc,Sauber Ferrari,1:13.077,1:12.995,1:12.717,23
11,10,Sergio Perez,Force India Mercedes,1:13.427,1:13.072,1:12.774,19
14,11,Fernando Alonso,McLaren Renault,1:13.614,1:13.657,,16
35,12,Sergey Sirotkin,Williams Mercedes,1:13.708,1:13.702,,13
9,13,Marcus Ericsson,Sauber Ferrari,1:13.562,1:13.736,,17
44,14,Lewis Hamilton,Mercedes,1:13.012,,,8
3,15,Daniel Ricciardo,Red Bull Racing TAG Heuer,1:13.318,,,6
31,16,Esteban Ocon,Force India Mercedes,1:13.720,,,10
10,17,Pierre Gasly,Scuderia Toro Rosso Honda,1:13.749,,,9
28,18,Brendon Hartley,Scuderia Toro Rosso Honda,1:14.045,,,8
18,19,Lance Stroll,Williams Mercedes,1:14.206,,,10
2,20,Stoffel Vandoorne,McLaren Renault,1:14.401,,,10
