,Position,Driver,Car,Lap,Time
5,1,Nigel Mansell,Williams Honda,58,1:09.832
6,2,Nelson Piquet,Williams Honda,62,1:10.632
12,3,Ayrton Senna,Lotus Honda,60,1:11.605
27,4,Michele Alboreto,Ferrari,49,1:12.846
1,5,Alain Prost,McLaren TAG,47,1:13.346
11,6,Satoru Nakajima,Lotus Honda,61,1:13.780
19,7,Teo Fabi,Benetton Ford,51,1:13.885
9,8,Martin Brundle,Zakspeed,43,1:14.102
20,9,Thierry Boutsen,Benetton Ford,54,1:14.162
17,10,Derek Warwick,Arrows Megatron,53,1:14.210
18,11,Eddie  Cheever,Arrows Megatron,42,1:14.346
2,12,Stefan Johansson,McLaren TAG,14,1:14.380
7,13,Riccardo Patrese,Brabham BMW,17,1:14.814
28,14,Gerhard Berger,Ferrari,7,1:14.879
8,15,Andrea de Cesaris,Brabham BMW,7,1:15.401
21,16,Alex Caffi,Osella Alfa Romeo,28,1:17.347
24,17,Alessandro Nannini,Minardi Motori Moderni,8,1:17.383
25,18,Rene Arnoux,Ligier Megatron,3,1:17.552
3,19,Jonathan  Palmer,Tyrrell Ford,33,1:18.543
4,20,Philippe Streiff,Tyrrell Ford,38,1:18.745
23,21,Adrian Campos,Minardi Motori Moderni,32,1:18.859
30,22,Philippe Alliot,Lola Ford,7,1:18.924
16,23,Ivan Capelli,March Ford,3,1:18.999
14,24,Pascal Fabre,AGS Ford,55,1:19.784
10,25,Christian Danner,Zakspeed,28,1:19.848
