,Position,Driver,Car,Time
1,1,Ayrton Senna,McLaren Honda,1:09.099
37,1,Bertrand Gachot,Onyx Ford,1:11.506
17,2,Nicola Larini,Osella Ford,1:11.766
2,2,Alain Prost,McLaren Honda,1:09.266
27,3,Nigel Mansell,Ferrari,1:09.488
8,3,Stefano Modena,Brabham Judd,1:11.809
7,4,Martin Brundle,Brabham Judd,1:12.021
28,4,Gerhard Berger,Ferrari,1:09.855
6,5,Riccardo Patrese,Williams Renault,1:09.865
36,5,Stefan Johansson,Onyx Ford,1:12.248
15,6,Mauricio Gugelmin,March Judd,1:10.336
21,6,Alex Caffi,Dallara Ford,1:12.501
33,7,Gregor Foitek,Euro Brun Judd,1:13.128
5,7,Thierry Boutsen,Williams Renault,1:10.376
16,8,Ivan Capelli,March Judd,1:10.650
18,8,Piercarlo Ghinzani,Osella Ford,1:13.429
19,9,Alessandro Nannini,Benetton Ford,1:10.798
41,9,Yannick Dalmas,AGS Ford,1:13.720
34,10,Bernd Schneider,Zakspeed Yamaha,1:14.124
11,10,Nelson Piquet,Lotus Judd,1:10.925
23,11,Pierluigi Martini,Minardi Ford,1:11.368
32,11,Pierre Henri Raphanel,Coloni Ford,1:14.206
35,12,Aguri Suzuki,Zakspeed Yamaha,1:14.266
30,12,Philippe Alliot,Lola Lamborghini,1:11.541
39,13,Volker Weidler,Rial Ford,1:15.096
29,13,Eric Bernard,Lola Lamborghini,1:11.687
24,15,Luis Perez-Sala,Minardi Ford,1:11.826
12,16,Satoru Nakajima,Lotus Judd,1:11.960
3,18,Jonathan  Palmer,Tyrrell Ford,1:12.070
9,19,Derek Warwick,Arrows Ford,1:12.208
4,22,Jean Alesi,Tyrrell Ford,1:12.341
31,23,Roberto Moreno,Coloni Ford,1:12.412
26,24,Olivier Grouillard,Ligier Ford,1:12.605
22,25,Andrea de Cesaris,Dallara Ford,1:12.904
20,26,Emanuele Pirro,Benetton Ford,1:13.148
25,27,Rene Arnoux,Ligier Ford,1:13.240
10,28,Eddie  Cheever,Arrows Ford,1:13.386
40,29,Gabriele Tarquini,AGS Ford,1:13.496
38,30,Christian Danner,Rial Ford,1:15.387
