,Position,Driver,Car,Time / Gap
6,1,Riccardo Patrese,Williams Renault,1:10.060
27,2,Nigel Mansell,Ferrari,+0.132s
15,3,Mauricio Gugelmin,March Judd,+0.651s
16,4,Ivan Capelli,March Judd,+0.696s
28,5,Gerhard Berger,Ferrari,+1.010s
5,6,Thierry Boutsen,Williams Renault,+1.090s
2,7,Alain Prost,McLaren Honda,+1.372s
23,8,Pierluigi Martini,Minardi Ford,+1.522s
17,9,Nicola Larini,Osella Ford,+1.882s
19,10,Alessandro Nannini,Benetton Ford,+2.134s
11,11,Nelson Piquet,Lotus Judd,+2.191s
30,12,Philippe Alliot,Lola Lamborghini,+2.501s
1,13,Ayrton Senna,McLaren Honda,+2.574s
37,14,Bertrand Gachot,Onyx Ford,+2.588s
24,15,Luis Perez-Sala,Minardi Ford,+2.708s
7,16,Martin Brundle,Brabham Judd,+2.714s
12,17,Satoru Nakajima,Lotus Judd,+2.960s
31,18,Roberto Moreno,Coloni Ford,+3.144s
9,19,Derek Warwick,Arrows Ford,+3.288s
10,20,Eddie  Cheever,Arrows Ford,+3.380s
22,21,Andrea de Cesaris,Dallara Ford,+3.447s
25,22,Rene Arnoux,Ligier Ford,+3.457s
40,23,Gabriele Tarquini,AGS Ford,+3.535s
4,24,Jean Alesi,Tyrrell Ford,+3.621s
26,25,Olivier Grouillard,Ligier Ford,+3.642s
29,26,Eric Bernard,Lola Lamborghini,+3.843s
20,27,Emanuele Pirro,Benetton Ford,+3.915s
3,28,Jonathan  Palmer,Tyrrell Ford,+4.023s
38,29,Christian Danner,Rial Ford,+6.633s
