,Position,Driver,Car,Time,Laps
8,1,Mika Hakkinen,McLaren Mercedes,1:23.271,10
3,2,Michael Schumacher,Ferrari,1:23.720,11
1,3,Jacques Villeneuve,Williams Mecachrome,1:24.102,12
7,4,David Coulthard,McLaren Mercedes,1:24.310,12
4,5,Eddie Irvine,Ferrari,1:24.436,12
2,6,Heinz-Harald Frentzen,Williams Mecachrome,1:24.442,12
9,7,Damon Hill,Jordan Mugen Honda,1:24.542,12
14,8,Jean Alesi,Sauber Petronas,1:25.081,12
15,9,Johnny Herbert,Sauber Petronas,1:25.084,12
5,10,Giancarlo Fisichella,Benetton Playlife,1:25.654,12
6,11,Alexander Wurz,Benetton Playlife,1:25.760,12
16,12,Pedro Diniz,Arrows,1:26.376,12
17,13,Mika Salo,Arrows,1:26.487,12
12,14,Jarno Trulli,Prost Peugeot,1:26.808,11
19,15,Jos Verstappen,Stewart Ford,1:26.948,12
18,16,Rubens Barrichello,Stewart Ford,1:26.990,12
21,17,Toranosuke Takagi,Tyrrell Ford,1:27.061,12
23,18,Esteban Tuero,Minardi Ford,1:28.051,11
22,19,Shinji Nakano,Minardi Ford,1:28.123,12
20,20,Ricardo Rosset,Tyrrell Ford,1:28.608,12
10,21,Ralf Schumacher,Jordan Mugen Honda,,12
11,22,Olivier Panis,Prost Peugeot,,12
