,Position,Driver,Car,Time
8,1,Mika Hakkinen,McLaren Mercedes,1:23.271
3,2,Michael Schumacher,Ferrari,1:23.720
1,3,Jacques Villeneuve,Williams Mecachrome,1:24.102
7,4,David Coulthard,McLaren Mercedes,1:24.310
4,5,Eddie Irvine,Ferrari,1:24.436
2,6,Heinz-Harald Frentzen,Williams Mecachrome,1:24.442
9,7,Damon Hill,Jordan Mugen Honda,1:24.542
14,8,Jean Alesi,Sauber Petronas,1:25.081
15,9,Johnny Herbert,Sauber Petronas,1:25.084
5,10,Giancarlo Fisichella,Benetton Playlife,1:25.654
6,11,Alexander Wurz,Benetton Playlife,1:25.760
16,12,Pedro Diniz,Arrows,1:26.376
17,13,Mika Salo,Arrows,1:26.487
12,14,Jarno Trulli,Prost Peugeot,1:26.808
19,15,Jos Verstappen,Stewart Ford,1:26.948
18,16,Rubens Barrichello,Stewart Ford,1:26.990
21,17,Toranosuke Takagi,Tyrrell Ford,1:27.061
23,18,Esteban Tuero,Minardi Ford,1:28.051
22,19,Shinji Nakano,Minardi Ford,1:28.123
20,20,Ricardo Rosset,Tyrrell Ford,1:28.608
10,21,Ralf Schumacher,Jordan Mugen Honda,
11,22,Olivier Panis,Prost Peugeot,
