,Position,Driver,Car,Q1,Q2,Q3,Laps
2,1,Lewis Hamilton,McLaren Mercedes,1:19.885,1:19.400,1:19.997,19
6,2,Kimi Räikkönen,Ferrari,1:19.753,1:19.252,1:20.099,18
1,3,Fernando Alonso,McLaren Mercedes,1:19.330,1:19.152,1:20.147,18
5,4,Felipe Massa,Ferrari,1:19.790,1:19.421,1:20.265,18
10,5,Robert Kubica,Sauber BMW,1:20.294,1:20.054,1:20.401,22
11,6,Ralf Schumacher,Toyota,1:20.513,1:19.860,1:20.516,23
4,7,Heikki Kovalainen,Renault,1:20.570,1:20.077,1:20.721,24
3,8,Giancarlo Fisichella,Renault,1:20.842,1:20.042,1:20.775,24
9,9,Nick Heidfeld,Sauber BMW,1:20.534,1:20.178,1:20.894,17
12,10,Jarno Trulli,Toyota,1:21.150,1:20.133,1:21.240,24
15,11,Mark Webber,Red Bull Renault,1:20.583,1:20.235,,12
14,12,David Coulthard,Red Bull Renault,1:21.154,1:20.329,,14
17,13,Alexander Wurz,Williams Toyota,1:20.830,1:20.350,,15
8,14,Rubens Barrichello,Honda,1:21.169,1:20.364,,12
19,15,Scott Speed,STR Ferrari,1:20.834,1:20.515,,12
18,16,Vitantonio Liuzzi,STR Ferrari,1:21.160,1:20.823,,15
16,17,Nico Rosberg,Williams Toyota,1:21.219,,,6
7,18,Jenson Button,Honda,1:21.335,,,6
23,19,Anthony Davidson,Super Aguri Honda,1:21.448,,,5
20,20,Adrian Sutil,Spyker Ferrari,1:22.019,,,8
22,21,Takuma Sato,Super Aguri Honda,1:22.045,,,6
21,22,Christijan Albers,Spyker Ferrari,1:22.589,,,6
