,Position,Driver,Car,Lap,Time,Avg Speed
9,1,Kimi Räikkönen,Lotus Renault,50,1:34.661,224.037
10,2,Romain Grosjean,Lotus Renault,50,1:34.884,223.510
1,3,Sebastian Vettel,Red Bull Racing Renault,52,1:34.897,223.480
2,4,Mark Webber,Red Bull Racing Renault,49,1:34.934,223.393
6,5,Felipe Massa,Ferrari,50,1:35.041,223.141
7,6,Michael Schumacher,Mercedes,52,1:35.191,222.789
5,7,Fernando Alonso,Ferrari,49,1:35.385,222.336
16,8,Daniel Ricciardo,STR Ferrari,49,1:35.448,222.190
14,9,Kamui Kobayashi,Sauber Ferrari,48,1:35.478,222.120
17,10,Jean-Eric Vergne,STR Ferrari,49,1:35.514,222.036
8,11,Nico Rosberg,Mercedes,49,1:35.750,221.489
19,12,Bruno Senna,Williams Renault,48,1:35.863,221.228
12,13,Nico Hulkenberg,Force India Mercedes,37,1:35.981,220.956
3,14,Jenson Button,McLaren Mercedes,52,1:36.086,220.714
4,15,Lewis Hamilton,McLaren Mercedes,44,1:36.173,220.515
24,16,Timo Glock,Marussia Cosworth,50,1:37.422,217.687
18,17,Pastor Maldonado,Williams Renault,34,1:37.515,217.480
25,18,Charles Pic,Marussia Cosworth,50,1:38.008,216.386
20,19,Heikki Kovalainen,Caterham Renault,37,1:38.050,216.293
23,20,Narain Karthikeyan,HRT Cosworth,50,1:38.339,215.658
22,21,Pedro de la Rosa,HRT Cosworth,44,1:39.618,212.889
15,22,Sergio Perez,Sauber Ferrari,3,1:39.781,212.541
