,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
44,1,Lewis Hamilton,Mercedes,26,1:37.176,218.239,14:47:28
1,2,Sebastian Vettel,Red Bull Racing Renault,52,1:37.481,217.556,15:31:22
6,3,Nico Rosberg,Mercedes,26,1:38.091,216.203,14:47:23
77,4,Valtteri Bottas,Williams Mercedes,34,1:38.264,215.822,15:01:18
22,5,Jenson Button,McLaren Mercedes,52,1:38.284,215.778,15:31:15
26,6,Daniil Kvyat,STR Renault,45,1:38.407,215.509,15:20:25
3,7,Daniel Ricciardo,Red Bull Racing Renault,34,1:38.459,215.395,15:01:26
14,8,Fernando Alonso,Ferrari,52,1:38.587,215.115,15:31:28
27,9,Nico Hulkenberg,Force India Mercedes,52,1:38.625,215.032,15:31:57
20,10,Kevin Magnussen,McLaren Mercedes,32,1:38.677,214.919,14:58:22
11,11,Sergio Perez,Force India Mercedes,41,1:38.716,214.834,15:14:01
8,12,Romain Grosjean,Lotus Renault,48,1:38.919,214.393,15:25:44
25,13,Jean-Eric Vergne,STR Renault,44,1:39.261,213.654,15:18:52
17,14,Jules Bianchi,Marussia Ferrari,51,1:39.961,212.158,15:31:34
99,15,Adrian Sutil,Sauber Ferrari,34,1:40.041,211.989,15:02:22
13,16,Pastor Maldonado,Lotus Renault,48,1:40.314,211.412,15:26:09
4,17,Max Chilton,Marussia Ferrari,50,1:40.399,211.233,15:32:03
10,18,Kamui Kobayashi,Caterham Renault,31,1:41.462,209.020,14:58:47
21,19,Esteban Gutierrez ,Sauber Ferrari,7,1:42.566,206.770,14:16:16
9,20,Marcus Ericsson,Caterham Renault,7,1:44.319,203.295,14:16:26
