,Position,Driver,Car,Laps,Time,Points
44,1,Lewis Hamilton,Mercedes,52,1:21:08.452,26
77,2,Valtteri Bottas,Mercedes,52,+24.928s,18
16,3,Charles Leclerc,Ferrari,52,+30.117s,15
10,4,Pierre Gasly,Red Bull Racing Honda,52,+34.692s,12
33,5,Max Verstappen,Red Bull Racing Honda,52,+39.458s,10
55,6,Carlos Sainz,McLaren Renault,52,+53.639s,8
3,7,Daniel Ricciardo,Renault,52,+54.401s,6
7,8,Kimi Räikkönen,Alfa Romeo Racing Ferrari,52,+65.540s,4
26,9,Daniil Kvyat,Scuderia Toro Rosso Honda,52,+66.720s,2
27,10,Nico Hulkenberg,Renault,52,+72.733s,1
4,11,Lando Norris,McLaren Renault,52,+74.281s,0
23,12,Alexander Albon,Scuderia Toro Rosso Honda,52,+75.617s,0
18,13,Lance Stroll,Racing Point BWT Mercedes,52,+81.086s,0
63,14,George Russell,Williams Mercedes,51,+1 lap,0
88,15,Robert Kubica,Williams Mercedes,51,+1 lap,0
5,16,Sebastian Vettel,Ferrari,51,+1 lap,0
11,17,Sergio Perez,Racing Point BWT Mercedes,51,+1 lap,0
99,NC,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,18,DNF,0
8,NC,Romain Grosjean,Haas Ferrari,9,DNF,0
20,NC,Kevin Magnussen,Haas Ferrari,6,DNF,0
