,Position,Driver,Car,Time / Gap,Laps
77,1,Valtteri Bottas,Mercedes,1:25.873,19
44,2,Lewis Hamilton,Mercedes,+0.138s,22
33,3,Max Verstappen,Red Bull Racing Honda,+0.300s,15
18,4,Lance Stroll,Racing Point BWT Mercedes,+0.703s,14
55,5,Carlos Sainz,McLaren Renault,+0.791s,22
16,6,Charles Leclerc,Ferrari,+0.898s,19
4,7,Lando Norris,McLaren Renault,+0.925s,23
3,8,Daniel Ricciardo,Renault,+0.968s,15
27,9,Nico Hulkenberg,Racing Point BWT Mercedes,+0.999s,15
10,10,Pierre Gasly,AlphaTauri Honda,+1.173s,20
26,11,Daniil Kvyat,AlphaTauri Honda,+1.203s,18
31,12,Esteban Ocon,Renault,+1.285s,16
23,13,Alexander Albon,Red Bull Racing Honda,+1.305s,10
5,14,Sebastian Vettel,Ferrari,+1.378s,21
8,15,Romain Grosjean,Haas Ferrari,+1.664s,18
63,16,George Russell,Williams Mercedes,+1.865s,17
99,17,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,+1.952s,16
20,18,Kevin Magnussen,Haas Ferrari,+1.987s,15
7,19,Kimi Räikkönen,Alfa Romeo Racing Ferrari,+2.103s,20
6,20,Nicholas Latifi,Williams Mercedes,+2.239s,16
