,Position,Driver,Car,Time
1,1,Ayrton Senna,McLaren Honda,1:16.147
8,1,Mark Blundell,Brabham Yamaha,1:22.290
6,2,Riccardo Patrese,Williams Renault,1:17.379
7,2,Martin Brundle,Brabham Yamaha,1:23.716
5,3,Nigel Mansell,Williams Renault,1:17.389
14,3,Olivier Grouillard,Fondmetal Ford,1:24.816
27,4,Alain Prost,Ferrari,1:17.690
9,4,Michele Alboreto,Footwork Porsche,1:25.045
2,5,Gerhard Berger,McLaren Honda,1:17.705
17,5,Gabriele Tarquini,AGS Ford,1:25.230
28,6,Jean Alesi,Ferrari,1:18.410
10,6,Alex Caffi,Footwork Porsche,1:26.637
21,7,Emanuele Pirro,Dallara Judd,1:19.334
18,7,Fabrizio Barbazza,AGS Ford,1:26.740
31,8,Pedro Chaves,Coloni Ford,1:26.945
4,8,Stefano Modena,Tyrrell Honda,1:19.748
16,9,Ivan Capelli,Leyton House Ilmor,1:19.794
20,11,Nelson Piquet,Benetton Ford,1:19.984
22,12,Jyrki Jarvilehto,Dallara Judd,1:20.014
15,13,Mauricio Gugelmin,Leyton House Ilmor,1:20.024
3,14,Satoru Nakajima,Tyrrell Honda,1:20.565
19,15,Roberto Moreno,Benetton Ford,1:20.584
32,16,Bertrand Gachot,Jordan Ford,1:20.655
33,17,Andrea de Cesaris,Jordan Ford,1:20.805
23,18,Pierluigi Martini,Minardi Ferrari,1:20.823
25,19,Thierry Boutsen,Ligier Lamborghini,1:20.870
29,21,Eric Bernard,Lola Ford,1:21.267
30,22,Aguri Suzuki,Lola Ford,1:21.601
24,23,Gianni Morbidelli,Minardi Ferrari,1:21.654
34,24,Nicola Larini,Lambo Lamborghini,1:21.896
26,25,Erik Comas,Ligier Lamborghini,1:22.258
11,26,Mika Hakkinen,Lotus Judd,1:22.335
35,29,Eric van de Poele,Lambo Lamborghini,1:23.162
12,30,Michael Bartels,Lotus Judd,1:23.248
