,Position,Driver,Car,Time / Gap
6,1,Riccardo Patrese,Williams Renault,1:15.877
1,2,Ayrton Senna,McLaren Honda,+1.165s
5,3,Nigel Mansell,Williams Renault,+1.167s
2,4,Gerhard Berger,McLaren Honda,+1.598s
27,5,Jean Alesi,Ferrari,+2.604s
20,6,Martin Brundle,Benetton Ford,+2.866s
29,7,Bertrand Gachot,Venturi Lamborghini,+2.913s
19,8,Michael Schumacher,Benetton Ford,+3.420s
11,9,Mika Hakkinen,Lotus Ford,+3.557s
12,10,Johnny Herbert,Lotus Ford,+3.758s
25,11,Thierry Boutsen,Ligier Renault,+3.822s
28,12,Ivan Capelli,Ferrari,+3.930s
16,13,Karl Wendlinger,March Ilmor,+3.946s
9,14,Michele Alboreto,Footwork Mugen Honda,+4.076s
10,15,Aguri Suzuki,Footwork Mugen Honda,+4.141s
15,16,Gabriele Tarquini,Fondmetal Ford,+4.196s
26,17,Erik Comas,Ligier Renault,+4.230s
33,18,Mauricio Gugelmin,Jordan Yamaha,+4.346s
4,19,Andrea de Cesaris,Tyrrell Ilmor,+4.772s
22,20,Pierluigi Martini,Dallara Ferrari,+4.842s
17,21,Paul Belmondo,March Ilmor,+4.941s
14,22,Eric van de Poele,Fondmetal Ford,+5.023s
21,23,Jyrki Jarvilehto,Dallara Ferrari,+5.138s
32,24,Stefano Modena,Jordan Yamaha,+5.306s
23,25,Alessandro Zanardi,Minardi Lamborghini,+5.463s
24,26,Gianni Morbidelli,Minardi Lamborghini,+5.629s
3,27,Olivier Grouillard,Tyrrell Ilmor,+5.722s
30,28,Ukyo Katayama,Venturi Lamborghini,+6.407s
34,29,Roberto Moreno,Moda Judd,+6.431s
