,Position,Driver,Car,Lap,Time
5,1,Damon Hill,Williams Renault,34,1:20.247
1,2,Michael Schumacher,Benetton Renault,22,1:20.506
6,3,David Coulthard,Williams Renault,58,1:21.126
26,4,Olivier Panis,Ligier Mugen Honda,40,1:21.343
28,5,Gerhard Berger,Ferrari,38,1:21.371
25,6,Martin Brundle,Ligier Mugen Honda,40,1:21.977
15,7,Eddie Irvine,Jordan Peugeot,49,1:22.211
7,8,Mark Blundell,McLaren Mercedes,27,1:22.235
27,9,Jean Alesi,Ferrari,25,1:22.276
2,10,Johnny Herbert,Benetton Renault,6,1:22.560
14,11,Rubens Barrichello,Jordan Peugeot,27,1:22.677
8,12,Mika Hakkinen,McLaren Mercedes,3,1:22.720
30,13,Heinz-Harald Frentzen,Sauber Ford,69,1:23.146
29,14,Jean-Christophe Boullion,Sauber Ford,53,1:23.424
4,15,Mika Salo,Tyrrell Yamaha,27,1:23.556
24,16,Luca Badoer,Minardi Ford,51,1:23.608
3,17,Ukyo Katayama,Tyrrell Yamaha,25,1:23.994
23,18,Pedro Lamy,Minardi Ford,16,1:24.269
10,19,Taki Inoue,Footwork Hart,9,1:24.804
9,20,Massimiliano Papis,Footwork Hart,8,1:25.730
17,21,Andrea Montermini,Pacific Ilmor,40,1:26.077
22,22,Roberto Moreno,Forti Ford,6,1:26.556
21,23,Pedro Diniz,Forti Ford,6,1:26.913
16,24,Giovanni Lavaggi,Pacific Ilmor,3,1:27.894
