,Position,Driver,Car,Time,Laps
5,1,Damon Hill,Williams Renault,1:16.982,21
6,2,David Coulthard,Williams Renault,1:17.366,22
1,3,Michael Schumacher,Benetton Renault,1:17.558,23
28,4,Gerhard Berger,Ferrari,1:18.059,17
8,5,Mika Hakkinen,McLaren Mercedes,1:18.363,19
27,6,Jean Alesi,Ferrari,1:18.968,9
25,7,Martin Brundle,Ligier Mugen Honda,1:19.748,21
2,8,Johnny Herbert,Benetton Renault,1:20.072,24
26,9,Olivier Panis,Ligier Mugen Honda,1:20.160,16
30,10,Heinz-Harald Frentzen,Sauber Ford,1:20.413,11
24,11,Luca Badoer,Minardi Ford,1:20.543,24
7,12,Mark Blundell,McLaren Mercedes,1:20.640,14
14,13,Rubens Barrichello,Jordan Peugeot,1:20.902,14
23,14,Pedro Lamy,Minardi Ford,1:21.156,24
15,15,Eddie Irvine,Jordan Peugeot,1:21.246,9
4,16,Mika Salo,Tyrrell Yamaha,1:21.624,14
3,17,Ukyo Katayama,Tyrrell Yamaha,1:21.702,21
10,18,Taki Inoue,Footwork Hart,1:22.081,23
29,19,Jean-Christophe Boullion,Sauber Ford,1:22.161,9
9,20,Massimiliano Papis,Footwork Hart,1:23.275,10
22,21,Roberto Moreno,Forti Ford,1:24.351,24
17,22,Andrea Montermini,Pacific Ilmor,1:24.371,19
21,23,Pedro Diniz,Forti Ford,1:24.695,23
16,24,Giovanni Lavaggi,Pacific Ilmor,1:26.570,23
