,Position,Driver,Car,Time
5,1,Damon Hill,Williams Renault,1:16.982
6,2,David Coulthard,Williams Renault,1:17.366
1,3,Michael Schumacher,Benetton Renault,1:17.558
28,4,Gerhard Berger,Ferrari,1:18.059
8,5,Mika Hakkinen,McLaren Mercedes,1:18.363
27,6,Jean Alesi,Ferrari,1:18.968
15,7,Eddie Irvine,Jordan Peugeot,1:19.499
25,8,Martin Brundle,Ligier Mugen Honda,1:19.748
2,9,Johnny Herbert,Benetton Renault,1:20.072
26,10,Olivier Panis,Ligier Mugen Honda,1:20.160
30,11,Heinz-Harald Frentzen,Sauber Ford,1:20.413
24,12,Luca Badoer,Minardi Ford,1:20.543
7,13,Mark Blundell,McLaren Mercedes,1:20.640
14,14,Rubens Barrichello,Jordan Peugeot,1:20.902
23,15,Pedro Lamy,Minardi Ford,1:21.156
4,16,Mika Salo,Tyrrell Yamaha,1:21.624
3,17,Ukyo Katayama,Tyrrell Yamaha,1:21.702
10,18,Taki Inoue,Footwork Hart,1:22.081
29,19,Jean-Christophe Boullion,Sauber Ford,1:22.161
9,20,Massimiliano Papis,Footwork Hart,1:23.275
22,21,Roberto Moreno,Forti Ford,1:24.351
17,22,Andrea Montermini,Pacific Ilmor,1:24.371
21,23,Pedro Diniz,Forti Ford,1:24.695
16,24,Giovanni Lavaggi,Pacific Ilmor,1:26.570
