,Position,Driver,Car,Lap,Time,Avg Speed
1,1,Michael Schumacher,Ferrari,72,1:16.207,187.778
2,2,Rubens Barrichello,Ferrari,31,1:16.891,186.107
4,3,Kimi Räikkönen,McLaren Mercedes,54,1:16.926,186.022
3,4,David Coulthard,McLaren Mercedes,33,1:17.290,185.146
5,5,Ralf Schumacher,Williams BMW,30,1:17.783,183.973
12,6,Olivier Panis,BAR Honda,28,1:18.126,183.165
6,7,Juan Pablo Montoya,Williams BMW,51,1:18.163,183.078
7,8,Nick Heidfeld,Sauber Petronas,35,1:18.185,183.027
10,9,Takuma Sato,Jordan Honda,46,1:18.247,182.882
14,10,Jarno Trulli,Renault,51,1:18.438,182.437
8,11,Felipe Massa,Sauber Petronas,52,1:18.458,182.390
9,12,Giancarlo Fisichella,Jordan Honda,49,1:18.578,182.112
16,13,Eddie Irvine,Jaguar Cosworth,19,1:18.889,181.394
22,14,Anthony Davidson,Minardi Asiatech,54,1:19.347,180.347
24,15,Mika Salo,Toyota,30,1:19.408,180.208
15,16,Jenson Button,Renault,23,1:19.455,180.101
23,17,Mark Webber,Minardi Asiatech,30,1:19.567,179.848
17,18,Pedro de la Rosa,Jaguar Cosworth,48,1:19.646,179.670
11,19,Jacques Villeneuve,BAR Honda,19,1:19.861,179.186
25,20,Allan McNish,Toyota,28,1:19.937,179.015
