,Position,Driver,Car,Laps,Time,Points
3,1,Daniel Ricciardo,Red Bull Racing Renault,70,1:53:05.058,25
14,2,Fernando Alonso,Ferrari,70,+5.225s,18
44,3,Lewis Hamilton,Mercedes,70,+5.857s,15
6,4,Nico Rosberg,Mercedes,70,+6.361s,12
19,5,Felipe Massa,Williams Mercedes,70,+29.841s,10
7,6,Kimi Räikkönen,Ferrari,70,+31.491s,8
1,7,Sebastian Vettel,Red Bull Racing Renault,70,+40.964s,6
77,8,Valtteri Bottas,Williams Mercedes,70,+41.344s,4
25,9,Jean-Eric Vergne,STR Renault,70,+58.527s,2
22,10,Jenson Button,McLaren Mercedes,70,+67.280s,1
99,11,Adrian Sutil,Sauber Ferrari,70,+68.169s,0
20,12,Kevin Magnussen,McLaren Mercedes,70,+78.465s,0
13,13,Pastor Maldonado,Lotus Renault,70,+84.024s,0
26,14,Daniil Kvyat,STR Renault,69,+1 lap,0
17,15,Jules Bianchi,Marussia Ferrari,69,+1 lap,0
4,16,Max Chilton,Marussia Ferrari,69,+1 lap,0
21,NC,Esteban Gutierrez ,Sauber Ferrari,32,DNF,0
10,NC,Kamui Kobayashi,Caterham Renault,24,DNF,0
11,NC,Sergio Perez,Force India Mercedes,22,DNF,0
27,NC,Nico Hulkenberg,Force India Mercedes,14,DNF,0
8,NC,Romain Grosjean,Lotus Renault,10,DNF,0
9,NC,Marcus Ericsson,Caterham Renault,7,DNF,0
