,Position,Driver,Car,Time / Gap,Laps
3,1,Daniel Ricciardo,Red Bull Racing TAG Heuer,1:17.613,30
5,2,Sebastian Vettel,Ferrari,+0.079s,24
33,3,Max Verstappen,Red Bull Racing TAG Heuer,+0.088s,29
7,4,Kimi Räikkönen,Ferrari,+0.335s,23
44,5,Lewis Hamilton,Mercedes,+0.423s,28
77,6,Valtteri Bottas,Mercedes,+0.857s,20
8,7,Romain Grosjean,Haas Ferrari,+1.362s,17
27,8,Nico Hulkenberg,Renault,+1.412s,14
55,9,Carlos Sainz,Renault,+1.515s,32
20,10,Kevin Magnussen,Haas Ferrari,+1.574s,29
10,11,Pierre Gasly,Scuderia Toro Rosso Honda,+1.739s,30
14,12,Fernando Alonso,McLaren Renault,+2.077s,24
28,13,Brendon Hartley,Scuderia Toro Rosso Honda,+2.228s,32
18,14,Lance Stroll,Williams Mercedes,+2.399s,33
31,15,Esteban Ocon,Force India Mercedes,+2.452s,30
2,16,Stoffel Vandoorne,McLaren Renault,+2.538s,28
11,17,Sergio Perez,Force India Mercedes,+2.546s,27
36,18,Antonio Giovinazzi,Sauber Ferrari,+2.680s,31
35,19,Sergey Sirotkin,Williams Mercedes,+2.694s,28
9,20,Marcus Ericsson,Sauber Ferrari,+3.084s,12
