,Position,Driver,Car,Q1,Q2,Q3,Laps
1,1,Sebastian Vettel,Red Bull Racing Renault,1:26.218,1:24.657,1:24.178,16
3,2,Lewis Hamilton,McLaren Mercedes,1:26.563,1:25.019,1:24.474,18
2,3,Mark Webber,Red Bull Racing Renault,1:26.473,1:25.282,1:24.508,17
5,4,Fernando Alonso,Ferrari,1:26.774,1:25.158,1:24.519,19
4,5,Jenson Button,McLaren Mercedes,1:26.225,1:25.299,1:24.950,20
6,6,Felipe Massa,Ferrari,1:27.012,1:25.522,1:25.122,18
8,7,Nico Rosberg,Mercedes,1:26.364,1:25.555,1:25.451,19
14,8,Adrian Sutil,Force India Mercedes,1:26.271,1:26.140,DNF,19
18,9,Sebastien Buemi,STR Ferrari,1:26.608,1:26.161,DNF,19
19,10,Jaime Alguersuari,STR Ferrari,1:26.557,1:26.319,DNF,19
10,11,Vitaly Petrov,Renault,1:26.189,1:26.319,,20
7,12,Michael Schumacher,Mercedes,1:26.790,1:26.337,,17
15,13,Paul di Resta,Force India Mercedes,1:26.864,1:26.503,,15
12,14,Pastor Maldonado,Williams Cosworth,1:26.829,1:26.537,,18
9,15,Bruno Senna,Renault,1:26.766,1:26.651,,16
11,16,Rubens Barrichello,Williams Cosworth,1:27.479,1:27.247,,17
17,17,Sergio Perez,Sauber Ferrari,1:27.249,1:27.562,,10
16,18,Kamui Kobayashi,Sauber Ferrari,1:27.876,,,6
20,19,Heikki Kovalainen,Lotus Renault,1:28.565,,,13
21,20,Jarno Trulli,Lotus Renault,1:28.752,,,13
23,21,Daniel Ricciardo,HRT Cosworth,1:30.216,,,11
22,22,Narain Karthikeyan,HRT Cosworth,1:30.238,,,11
25,23,Jerome d'Ambrosio,Virgin Cosworth,1:30.866,,,14
24,NC,Timo Glock,Virgin Cosworth,1:34.046,,,3
