,Position,Driver,Car,Time / Gap,Laps
1,1,Sebastian Vettel,Red Bull Racing Renault,1:24.824,18
4,2,Jenson Button,McLaren Mercedes,+0.367s,15
2,3,Mark Webber,Red Bull Racing Renault,+0.379s,19
3,4,Lewis Hamilton,McLaren Mercedes,+0.464s,16
5,5,Fernando Alonso,Ferrari,+0.960s,17
6,6,Felipe Massa,Ferrari,+1.234s,16
15,7,Paul di Resta,Force India Mercedes,+1.961s,19
8,8,Nico Rosberg,Mercedes,+2.049s,22
14,9,Adrian Sutil,Force India Mercedes,+2.134s,19
18,10,Sebastien Buemi,STR Ferrari,+2.322s,20
7,11,Michael Schumacher,Mercedes,+2.393s,21
9,12,Bruno Senna,Renault,+2.411s,20
16,13,Kamui Kobayashi,Sauber Ferrari,+2.438s,19
10,14,Vitaly Petrov,Renault,+2.456s,18
19,15,Jaime Alguersuari,STR Ferrari,+2.563s,20
17,16,Sergio Perez,Sauber Ferrari,+2.925s,21
12,17,Pastor Maldonado,Williams Cosworth,+2.969s,17
11,18,Rubens Barrichello,Williams Cosworth,+3.051s,20
21,19,Jarno Trulli,Lotus Renault,+4.531s,21
20,20,Heikki Kovalainen,Lotus Renault,+4.926s,19
24,21,Timo Glock,Virgin Cosworth,+5.859s,23
22,22,Narain Karthikeyan,HRT Cosworth,+6.076s,25
25,23,Jerome d'Ambrosio,Virgin Cosworth,+8.027s,19
23,24,Daniel Ricciardo,HRT Cosworth,+8.422s,16
