,Position,Driver,Car,Lap,Time,Avg Speed
3,1,Jenson Button,McLaren Mercedes,60,1:28.203,209.176
19,2,Bruno Senna,Williams Renault,60,1:28.431,208.637
5,3,Fernando Alonso,Ferrari,60,1:28.630,208.168
1,4,Sebastian Vettel,Red Bull Racing Renault,60,1:28.723,207.950
4,5,Lewis Hamilton,McLaren Mercedes,58,1:28.944,207.433
2,6,Mark Webber,Red Bull Racing Renault,59,1:29.029,207.235
11,7,Paul di Resta,Force India Mercedes,59,1:29.086,207.103
14,8,Kamui Kobayashi,Sauber Ferrari,51,1:29.204,206.829
7,9,Michael Schumacher,Mercedes,53,1:29.230,206.769
12,10,Nico Hulkenberg,Force India Mercedes,60,1:29.230,206.769
6,11,Felipe Massa,Ferrari,59,1:29.283,206.646
9,12,Kimi Räikkönen,Lotus Renault,54,1:29.354,206.482
16,13,Daniel Ricciardo,STR Ferrari,57,1:29.440,206.283
8,14,Nico Rosberg,Mercedes,59,1:29.492,206.163
10,15,Romain Grosjean,Lotus Renault,57,1:29.522,206.094
18,16,Pastor Maldonado,Williams Renault,50,1:30.067,204.847
17,17,Jean-Eric Vergne,STR Ferrari,59,1:30.091,204.792
20,18,Heikki Kovalainen,Caterham Renault,57,1:30.786,203.225
21,19,Vitaly Petrov,Caterham Renault,58,1:31.163,202.384
25,20,Charles Pic,Marussia Cosworth,55,1:31.366,201.935
24,21,Timo Glock,Marussia Cosworth,56,1:31.721,201.153
23,22,Narain Karthikeyan,HRT Cosworth,53,1:32.161,200.193
15,23,Sergio Perez,Sauber Ferrari,17,1:32.208,200.091
22,24,Pedro de la Rosa,HRT Cosworth,39,1:32.864,198.677
