,Position,Driver,Car,Laps,Time,Points
9,1,Sam Hanks,Epperly Offenhauser,200,3:41:14.250,8
26,2,Jim Rathmann,Epperly Offenhauser,200,+21.461s,7
1,3,Jimmy Bryan,Kuzma Offenhauser,200,OK,4
54,4,Paul Russo,Kurtis Kraft Novi,200,OK,3
73,5,Andy Linden,Kurtis Kraft Offenhauser,200,OK,2
6,6,Johnny  Boyd,Kurtis Kraft Offenhauser,200,OK,0
48,7,Marshall  Teague,Kurtis Kraft Offenhauser,200,OK,0
12,8,Pat  O'Connor,Kurtis Kraft Offenhauser,200,OK,0
7,9,Bob  Veith,Phillips Offenhauser,200,OK,0
22,10,Gene Hartley,Lesovsky Offenhauser,200,OK,0
19,11,Jack  Turner,Kurtis Kraft Offenhauser,200,OK,0
10,12,Johnny Thomson,Kuzma Offenhauser,199,+1 lap,0
95,13,Bob  Christie,Kurtis Kraft Offenhauser,197,+3 laps,0
82,14,Chuck  Weyant,Kuzma Offenhauser,196,+4 laps,0
27,15,Tony  Bettenhausen,Kurtis Kraft Novi,195,+5 laps,0
18,16,Johnnie  Parsons,Kurtis Kraft Offenhauser,195,+5 laps,0
3,17,Don  Freeland,Kurtis Kraft Offenhauser,192,+8 laps,0
5,18,Jimmy Reece,Kurtis Kraft Offenhauser,182,DNF,0
92,19,Don  Edmunds,Kurtis Kraft Offenhauser,170,DNF,0
28,20,Johnnie  Tolan,Kuzma Offenhauser,138,DNF,0
89,21,Al  Herman,Dunn Offenhauser,111,DNF,0
14,22,Fred Agabashian,Kurtis Kraft Offenhauser,107,DNF,0
88,23,Eddie  Sachs,Kuzma Offenhauser,105,DNF,0
77,24,Mike  Magill,Kurtis Kraft Offenhauser,101,DNF,0
43,25,Eddie Johnson,Kurtis Kraft Offenhauser,93,DNF,0
31,26,Bill  Cheesbourg,Kurtis Kraft Offenhauser,81,DNF,0
16,27,Al  Keller,Kurtis Kraft Offenhauser,75,DNF,0
57,28,Jimmy  Daywalt,Kurtis Kraft Offenhauser,53,DNF,0
83,29,Ed  Elisian,Kurtis Kraft Offenhauser,51,DNF,0
8,30,Rodger Ward,Lesovsky Offenhauser,27,DNF,0
52,31,Troy Ruttman,Watson Offenhauser,13,DNF,0
55,32,Eddie  Russo,Kurtis Kraft Offenhauser,0,DNF,0
23,33,Elmer  George,Kurtis Kraft Offenhauser,0,DNF,0
