,Position,Driver,Car,Time
97,1,Dick Rathmann,Watson Offenhauser,4:06.620
5,2,Ed  Elisian,Watson Offenhauser,4:06.700
16,3,Jimmy Reece,Watson Offenhauser,4:07.400
14,4,Bob  Veith,Kurtis Kraft Offenhauser,4:08.480
4,5,Pat  O'Connor,Kurtis Kraft Offenhauser,4:08.580
45,6,Johnnie  Parsons,Kurtis Kraft Offenhauser,4:08.820
1,7,Jimmy Bryan,Epperly Offenhauser,4:09.680
9,8,Johnny  Boyd,Kurtis Kraft Offenhauser,4:09.960
33,9,Tony  Bettenhausen,Epperly Offenhauser,4:10.140
25,10,Jack  Turner,Lesovsky Offenhauser,4:10.980
8,11,Rodger Ward,Lesovsky Offenhauser,4:11.280
29,12,Anthony Joseph Foyt,Kuzma Offenhauser,4:11.520
26,13,Don  Freeland,Phillips Offenhauser,4:11.690
15,14,Paul Russo,Kurtis Kraft Novi,4:11.820
43,15,Billy  Garrett,Kurtis Kraft Offenhauser,4:12.140
31,16,Paul Goldsmith,Kurtis Kraft Offenhauser,4:12.200
65,17,Bob  Christie,Kurtis Kraft Offenhauser,4:13.070
88,18,Eddie  Sachs,Kuzma Offenhauser,4:08.860
44,19,Jud  Larson,Watson Offenhauser,4:10.850
2,20,Jim Rathmann,Epperly Offenhauser,4:11.490
52,21,Al  Keller,Kurtis Kraft Offenhauser,4:11.870
7,22,Johnny Thomson,Kurtis Kraft Offenhauser,4:11.910
83,23,Shorty  Templeman,Watson Offenhauser,4:12.070
92,24,Jerry  Unser,Kurtis Kraft Offenhauser,4:12.180
99,25,George  Amick,Epperly Offenhauser,4:12.260
61,26,Eddie Johnson,Kurtis Kraft Offenhauser,4:12.330
68,27,Len  Sutton,Kurtis Kraft Offenhauser,4:12.360
57,28,Art  Bisch,Kuzma Offenhauser,4:12.400
89,29,Chuck  Weyant,Dunn Offenhauser,4:12.440
19,30,Johnnie  Tolan,Kuzma Offenhauser,4:12.970
77,31,Mike  Magill,Kurtis Kraft Offenhauser,4:13.030
59,32,Dempsey  Wilson,Kuzma Offenhauser,4:11.270
54,33,Bill  Cheesbourg,Kurtis Kraft Novi,4:12.550
