,Position,Driver,Car,Time
2,1,John Surtees,Ferrari,1:37.400
16,2,Dan Gurney,Brabham Ford,1:38.200
18,3,Graham Hill,BRM,1:38.700
8,4,Jim Clark,Lotus Climax,1:39.100
26,5,Bruce McLaren,Cooper Climax,1:39.400
12,6,Jo Siffert,Lotus BRM,1:39.700
4,7,Lorenzo Bandini,Ferrari,1:39.800
10,8,Mike Spence,Lotus Climax,1:40.300
20,9,Richie Ginther,BRM,1:40.400
28,10,Ronnie Bucknum,Honda,1:40.400
14,11,Jack Brabham,Brabham Ford,1:40.800
34,12,Jo Bonnier,Cooper Climax,1:41.000
46,13,Innes Ireland,Lotus BRM,1:41.000
22,14,Bob Anderson,Brabham Climax,1:41.300
30,15,Giancarlo Baghetti,BRM,1:41.400
6,16,Ludovico Scarfiotti,Ferrari,1:41.600
40,17,Mike Hailwood,Lotus Climax,1:41.600
38,18,Peter   Revson,Lotus BRM,1:42.000
50,19,Mario  de Araujo Cabral ,Derrington-Francis ATS,1:42.600
48,20,Maurice  Trintignant,BRM,1:43.300
