,Position,Driver,Car,Time
1,1,Ayrton Senna,McLaren Honda,1:21.114
8,1,Mark Blundell,Brabham Yamaha,1:24.271
5,2,Nigel Mansell,Williams Renault,1:21.247
7,2,Martin Brundle,Brabham Yamaha,1:25.117
2,3,Gerhard Berger,McLaren Honda,1:21.346
14,3,Olivier Grouillard,Fondmetal Ford,1:25.556
6,4,Riccardo Patrese,Williams Renault,1:21.372
9,4,Michele Alboreto,Footwork Porsche,1:25.771
27,5,Alain Prost,Ferrari,1:21.825
18,5,Fabrizio Barbazza,AGS Ford,1:27.392
17,6,Gabriele Tarquini,AGS Ford,1:27.401
28,6,Jean Alesi,Ferrari,1:21.890
19,7,Michael Schumacher,Benetton Ford,1:22.471
10,7,Alex Caffi,Footwork Porsche,1:27.608
20,8,Nelson Piquet,Benetton Ford,1:22.726
32,9,Roberto Moreno,Jordan Ford,1:23.102
23,10,Pierluigi Martini,Minardi Ferrari,1:23.294
16,12,Ivan Capelli,Leyton House Ilmor,1:23.674
4,13,Stefano Modena,Tyrrell Honda,1:23.701
33,14,Andrea de Cesaris,Jordan Ford,1:23.921
3,15,Satoru Nakajima,Tyrrell Honda,1:24.265
21,16,Emanuele Pirro,Dallara Judd,1:24.282
24,17,Gianni Morbidelli,Minardi Ferrari,1:24.287
15,18,Mauricio Gugelmin,Leyton House Ilmor,1:24.391
22,20,Jyrki Jarvilehto,Dallara Judd,1:24.725
25,21,Thierry Boutsen,Ligier Lamborghini,1:25.177
26,22,Erik Comas,Ligier Lamborghini,1:25.420
34,23,Nicola Larini,Lambo Lamborghini,1:25.717
29,24,Eric Bernard,Lola Ford,1:25.871
11,25,Mika Hakkinen,Lotus Judd,1:25.941
12,28,Michael Bartels,Lotus Judd,1:26.829
35,29,Eric van de Poele,Lambo Lamborghini,1:27.099
30,30,Aguri Suzuki,Lola Ford,1:27.257
