,Position,Driver,Car,Time / Gap
5,1,Nigel Mansell,Williams Renault,1:21.707
1,2,Ayrton Senna,McLaren Honda,+0.214s
2,3,Gerhard Berger,McLaren Honda,+0.286s
6,4,Riccardo Patrese,Williams Renault,+0.456s
27,5,Alain Prost,Ferrari,+1.810s
19,6,Michael Schumacher,Benetton Ford,+1.955s
32,7,Roberto Moreno,Jordan Ford,+2.004s
28,8,Jean Alesi,Ferrari,+2.197s
33,9,Andrea de Cesaris,Jordan Ford,+2.206s
23,10,Pierluigi Martini,Minardi Ferrari,+2.329s
20,11,Nelson Piquet,Benetton Ford,+2.439s
16,12,Ivan Capelli,Leyton House Ilmor,+2.806s
4,13,Stefano Modena,Tyrrell Honda,+2.865s
24,14,Gianni Morbidelli,Minardi Ferrari,+2.872s
7,15,Martin Brundle,Brabham Yamaha,+3.336s
3,16,Satoru Nakajima,Tyrrell Honda,+3.641s
21,17,Emanuele Pirro,Dallara Judd,+3.726s
15,18,Mauricio Gugelmin,Leyton House Ilmor,+3.812s
8,19,Mark Blundell,Brabham Yamaha,+3.866s
22,20,Jyrki Jarvilehto,Dallara Judd,+3.900s
34,21,Nicola Larini,Lambo Lamborghini,+4.229s
26,22,Erik Comas,Ligier Lamborghini,+4.396s
25,23,Thierry Boutsen,Ligier Lamborghini,+4.414s
35,24,Eric van de Poele,Lambo Lamborghini,+5.468s
9,25,Michele Alboreto,Footwork Porsche,+5.500s
29,26,Eric Bernard,Lola Ford,+5.608s
11,27,Mika Hakkinen,Lotus Judd,+5.817s
30,28,Aguri Suzuki,Lola Ford,+6.188s
12,29,Michael Bartels,Lotus Judd,+6.842s
14,30,Olivier Grouillard,Fondmetal Ford,+7.114s
