,Position,Driver,Car,Lap,Time
5,1,Nigel Mansell,Williams Renault,39,1:26.119
6,2,Riccardo Patrese,Williams Renault,46,1:26.224
19,3,Michael Schumacher,Benetton Ford,53,1:26.497
20,4,Martin Brundle,Benetton Ford,45,1:27.083
1,5,Ayrton Senna,McLaren Honda,41,1:27.190
2,6,Gerhard Berger,McLaren Honda,39,1:27.255
4,7,Andrea de Cesaris,Tyrrell Ilmor,43,1:28.698
9,8,Michele Alboreto,Footwork Mugen Honda,52,1:28.870
16,9,Karl Wendlinger,March Ilmor,39,1:28.964
30,10,Ukyo Katayama,Venturi Lamborghini,49,1:29.295
21,11,Jyrki Jarvilehto,Dallara Ferrari,44,1:29.358
27,12,Jean Alesi,Ferrari,11,1:29.508
25,13,Thierry Boutsen,Ligier Renault,24,1:29.528
28,14,Ivan Capelli,Ferrari,10,1:29.639
12,15,Johnny Herbert,Lotus Ford,17,1:29.739
26,16,Erik Comas,Ligier Renault,28,1:29.845
11,17,Mika Hakkinen,Lotus Ford,3,1:30.101
15,18,Gabriele Tarquini,Fondmetal Ford,29,1:30.171
24,19,Gianni Morbidelli,Minardi Lamborghini,12,1:30.273
3,20,Olivier Grouillard,Tyrrell Ilmor,26,1:30.360
22,21,Pierluigi Martini,Dallara Ferrari,39,1:30.361
29,22,Bertrand Gachot,Venturi Lamborghini,10,1:30.558
17,23,Emanuele Naspetti,March Ilmor,17,1:30.941
33,24,Mauricio Gugelmin,Jordan Yamaha,38,1:31.043
10,25,Aguri Suzuki,Footwork Mugen Honda,2,1:34.405
