,Position,Driver,Car,Time / Gap,Laps
3,1,Jacques Villeneuve,Williams Renault,1:23.194,25
7,2,Jean Alesi,Benetton Renault,+0.068s,23
12,3,Giancarlo Fisichella,Jordan Peugeot,+0.135s,22
9,4,Mika Hakkinen,McLaren Mercedes,+0.152s,10
11,5,Ralf Schumacher,Jordan Peugeot,+0.193s,16
10,6,David Coulthard,McLaren Mercedes,+0.240s,19
4,7,Heinz-Harald Frentzen,Williams Renault,+0.464s,28
5,8,Michael Schumacher,Ferrari,+0.621s,21
8,9,Gerhard Berger,Benetton Renault,+0.704s,27
6,10,Eddie Irvine,Ferrari,+1.042s,25
16,11,Johnny Herbert,Sauber Petronas,+1.122s,22
22,12,Rubens Barrichello,Stewart Ford,+1.185s,20
23,13,Jan Magnussen,Stewart Ford,+1.242s,21
14,14,Jarno Trulli,Prost Mugen Honda,+1.555s,9
1,15,Damon Hill,Arrows Yamaha,+1.698s,17
15,16,Shinji Nakano,Prost Mugen Honda,+1.840s,27
2,17,Pedro Diniz,Arrows Yamaha,+2.049s,15
17,18,Gianni Morbidelli,Sauber Petronas,+2.197s,28
19,19,Mika Salo,Tyrrell Ford,+2.367s,22
18,20,Jos Verstappen,Tyrrell Ford,+2.731s,24
20,21,Ukyo Katayama,Minardi Hart,+3.515s,23
21,22,Tarso Marques,Minardi Hart,+4.735s,27
