,Position,Driver,Car,Laps,Time,Points
8,1,Heinz-Harald Frentzen,Jordan Mugen Honda,53,1:17:02.923,10
6,2,Ralf Schumacher,Williams Supertec,53,+3.272s,6
3,3,Mika Salo,Ferrari,53,+11.932s,4
16,4,Rubens Barrichello,Stewart Ford,53,+17.630s,3
2,5,David Coulthard,McLaren Mercedes,53,+18.142s,2
4,6,Eddie Irvine,Ferrari,53,+27.402s,1
5,7,Alessandro Zanardi,Williams Supertec,53,+28.047s,0
22,8,Jacques Villeneuve,BAR Supertec,53,+41.797s,0
11,9,Jean Alesi,Sauber Petronas,53,+42.198s,0
7,10,Damon Hill,Jordan Mugen Honda,53,+56.259s,0
18,11,Olivier Panis,Prost Peugeot,52,DNF,0
17,NC,Johnny Herbert,Stewart Ford,40,DNF,0
15,NC,Toranosuke Takagi,Arrows,35,DNF,0
14,NC,Pedro de la Rosa,Arrows,35,DNF,0
1,NC,Mika Hakkinen,McLaren Mercedes,29,DNF,0
19,NC,Jarno Trulli,Prost Peugeot,29,DNF,0
23,NC,Ricardo Zonta,BAR Supertec,25,DNF,0
20,NC,Luca Badoer,Minardi Ford,23,DNF,0
10,NC,Alexander Wurz,Benetton Playlife,11,DNF,0
12,NC,Pedro Diniz,Sauber Petronas,1,DNF,0
9,NC,Giancarlo Fisichella,Benetton Playlife,1,DNF,0
21,NC,Marc Gene,Minardi Ford,0,DNF,0
