,Position,Driver,Car,Time,Laps
6,1,Juan Pablo Montoya,Williams BMW,1:20.264,11
1,2,Michael Schumacher,Ferrari,1:20.521,12
5,3,Ralf Schumacher,Williams BMW,1:20.542,12
2,4,Rubens Barrichello,Ferrari,1:20.706,12
16,5,Eddie Irvine,Jaguar Cosworth,1:21.606,12
4,6,Kimi Räikkönen,McLaren Mercedes,1:21.712,9
3,7,David Coulthard,McLaren Mercedes,1:21.803,12
17,8,Pedro de la Rosa,Jaguar Cosworth,1:21.960,12
11,9,Jacques Villeneuve,BAR Honda,1:22.126,11
24,10,Mika Salo,Toyota,1:22.318,12
14,11,Jarno Trulli,Renault,1:22.383,11
9,12,Giancarlo Fisichella,Jordan Honda,1:22.515,11
25,13,Allan McNish,Toyota,1:22.521,10
8,14,Felipe Massa,Sauber Petronas,1:22.565,12
7,15,Nick Heidfeld,Sauber Petronas,1:22.601,10
12,16,Olivier Panis,BAR Honda,1:22.645,10
15,17,Jenson Button,Renault,1:22.714,12
10,18,Takuma Sato,Jordan Honda,1:23.166,9
23,19,Mark Webber,Minardi Asiatech,1:23.794,11
22,20,Alex Yoong,Minardi Asiatech,1:25.111,12
