,Position,Driver,Car,Lap,Time,Avg Speed
9,1,Kimi Räikkönen,McLaren Mercedes,51,1:21.504,255.874
10,2,Juan Pablo Montoya,McLaren Mercedes,15,1:21.828,254.861
5,3,Fernando Alonso,Renault,16,1:22.146,253.874
6,4,Giancarlo Fisichella,Renault,16,1:22.587,252.519
16,5,Jarno Trulli,Toyota,19,1:22.831,251.775
8,6,Antonio Pizzonia,Williams BMW,21,1:22.870,251.656
7,7,Mark Webber,Williams BMW,40,1:22.935,251.459
17,8,Ralf Schumacher,Toyota,19,1:23.076,251.032
3,9,Jenson Button,BAR Honda,16,1:23.161,250.776
4,10,Takuma Sato,BAR Honda,14,1:23.341,250.234
12,11,Felipe Massa,Sauber Petronas,18,1:23.365,250.162
2,12,Rubens Barrichello,Ferrari,13,1:23.466,249.859
1,13,Michael Schumacher,Ferrari,5,1:23.584,249.507
15,14,Christian Klien,RBR Cosworth,17,1:23.633,249.360
14,15,David Coulthard,RBR Cosworth,18,1:23.867,248.665
11,16,Jacques Villeneuve,Sauber Petronas,13,1:23.892,248.591
18,17,Tiago Monteiro,Jordan Toyota,9,1:24.810,245.900
21,18,Christijan Albers,Minardi Cosworth,33,1:24.966,245.448
19,19,Narain Karthikeyan,Jordan Toyota,17,1:25.146,244.929
20,20,Robert Doornbos,Minardi Cosworth,31,1:25.193,244.794
