,Position,Driver,Car,Q1,Q2,Q3,Laps
7,1,Kimi Räikkönen,Ferrari,1:20.722,1:19.846,1:19.119,21
5,2,Sebastian Vettel,Ferrari,1:20.542,1:19.629,1:19.280,20
44,3,Lewis Hamilton,Mercedes,1:20.810,1:19.798,1:19.294,20
77,4,Valtteri Bottas,Mercedes,1:21.381,1:20.427,1:19.656,18
33,5,Max Verstappen,Red Bull Racing TAG Heuer,1:21.381,1:20.333,1:20.615,15
8,6,Romain Grosjean,Haas Ferrari,1:21.887,1:21.239,1:20.936,21
55,7,Carlos Sainz,Renault,1:21.732,1:21.552,1:21.041,17
31,8,Esteban Ocon,Force India Mercedes,1:21.570,1:21.315,1:21.099,17
10,9,Pierre Gasly,Scuderia Toro Rosso Honda,1:21.834,1:21.667,1:21.350,24
18,10,Lance Stroll,Williams Mercedes,1:21.838,1:21.494,1:21.627,14
20,11,Kevin Magnussen,Haas Ferrari,1:21.783,1:21.669,,12
35,12,Sergey Sirotkin,Williams Mercedes,1:21.813,1:21.732,,13
14,13,Fernando Alonso,McLaren Renault,1:21.850,1:22.568,,14
27,14,Nico Hulkenberg,Renault,1:21.801,DNF,,12
3,15,Daniel Ricciardo,Red Bull Racing TAG Heuer,1:21.280,,,3
11,16,Sergio Perez,Force India Mercedes,1:21.888,,,5
16,17,Charles Leclerc,Sauber Ferrari,1:21.889,,,10
28,18,Brendon Hartley,Scuderia Toro Rosso Honda,1:21.934,,,12
9,19,Marcus Ericsson,Sauber Ferrari,1:22.048,,,10
2,20,Stoffel Vandoorne,McLaren Renault,1:22.085,,,9
