,Position,Driver,Car,Lap,Time
6,1,Riccardo Patrese,Williams Renault,40,1:44.233
30,2,Aguri Suzuki,Lola Lamborghini,40,1:44.850
20,3,Nelson Piquet,Benetton Ford,47,1:45.114
19,4,Roberto Moreno,Benetton Ford,45,1:45.539
5,5,Thierry Boutsen,Williams Renault,47,1:45.706
3,6,Satoru Nakajima,Tyrrell Ford,27,1:45.887
11,7,Derek Warwick,Lotus Lamborghini,23,1:46.042
26,8,Philippe Alliot,Ligier Ford,44,1:46.106
2,9,Nigel Mansell,Ferrari,22,1:46.272
12,10,Johnny Herbert,Lotus Lamborghini,27,1:46.463
25,11,Nicola Larini,Ligier Ford,21,1:46.681
10,12,Alex Caffi,Arrows Ford,42,1:46.849
23,13,Pierluigi Martini,Minardi Ford,43,1:46.897
9,14,Michele Alboreto,Arrows Ford,27,1:47.094
29,15,Eric Bernard,Lola Lamborghini,19,1:47.518
16,16,Ivan Capelli,Leyton House Judd,9,1:48.035
21,17,Emanuele Pirro,Dallara Ford,18,1:48.506
24,18,Gianni Morbidelli,Minardi Ford,15,1:48.865
15,19,Mauricio Gugelmin,Leyton House Judd,5,1:49.471
28,20,Gerhard Berger,McLaren Honda,1,1:49.573
22,21,Andrea de Cesaris,Dallara Ford,13,1:49.761
7,22,David Brabham,Brabham Judd,2,1:54.765
