,Position,Driver,Car,Time / Gap
2,1,Alain Prost,Williams Renault,1:37.984
0,2,Damon Hill,Williams Renault,+0.513s
8,3,Ayrton Senna,McLaren Ford,+0.804s
28,4,Gerhard Berger,Ferrari,+0.933s
15,5,Eddie Irvine,Jordan Hart,+1.577s
5,6,Michael Schumacher,Benetton Ford,+1.690s
7,7,Mika Hakkinen,McLaren Ford,+2.085s
9,8,Derek Warwick,Footwork Mugen Honda,+2.179s
14,9,Rubens Barrichello,Jordan Hart,+2.219s
27,10,Jean Alesi,Ferrari,+2.269s
3,11,Ukyo Katayama,Tyrrell Yamaha,+2.298s
29,12,Karl Wendlinger,Sauber,+2.398s
30,13,Jyrki Jarvilehto,Sauber,+2.660s
26,14,Mark Blundell,Ligier Renault,+2.998s
6,15,Riccardo Patrese,Benetton Ford,+3.737s
12,16,Johnny Herbert,Lotus Ford,+4.027s
11,17,Pedro Lamy,Lotus Ford,+4.038s
24,18,Pierluigi Martini,Minardi Ford,+4.571s
4,19,Andrea de Cesaris,Tyrrell Yamaha,+4.794s
19,20,Toshio  Suzuki,Larrousse Lamborghini,+5.280s
20,21,Erik Comas,Larrousse Lamborghini,+5.834s
10,22,Aguri Suzuki,Footwork Mugen Honda,+5.897s
23,23,Jean-Marc Gounon,Minardi Ford,+7.668s
25,24,Martin Brundle,Ligier Renault,+11.274s
