,Position,Driver,Car,Lap,Time,Avg Speed
3,1,Michael Schumacher,Ferrari,19,1:40.190,210.703
8,2,Mika Hakkinen,McLaren Mercedes,35,1:40.426,210.208
4,3,Eddie Irvine,Ferrari,36,1:40.870,209.283
7,4,David Coulthard,McLaren Mercedes,42,1:40.905,209.210
1,5,Jacques Villeneuve,Williams Mecachrome,40,1:42.273,206.412
9,6,Damon Hill,Jordan Mugen Honda,38,1:42.275,206.408
2,7,Heinz-Harald Frentzen,Williams Mecachrome,36,1:42.331,206.295
5,8,Giancarlo Fisichella,Benetton Playlife,20,1:42.335,206.287
14,9,Jean Alesi,Sauber Petronas,31,1:42.357,206.242
15,10,Johnny Herbert,Sauber Petronas,38,1:42.858,205.238
10,11,Ralf Schumacher,Jordan Mugen Honda,4,1:42.965,205.025
11,12,Olivier Panis,Prost Peugeot,49,1:43.073,204.810
12,13,Jarno Trulli,Prost Peugeot,42,1:43.164,204.629
6,14,Alexander Wurz,Benetton Playlife,18,1:43.447,204.069
22,15,Shinji Nakano,Minardi Ford,37,1:44.158,202.676
18,16,Rubens Barrichello,Stewart Ford,8,1:44.947,201.152
17,17,Mika Salo,Arrows,14,1:45.304,200.471
21,18,Toranosuke Takagi,Tyrrell Ford,23,1:45.673,199.770
23,19,Esteban Tuero,Minardi Ford,21,1:45.792,199.546
19,20,Jos Verstappen,Stewart Ford,19,1:45.840,199.455
16,21,Pedro Diniz,Arrows,2,1:46.099,198.968
