,Position,Driver,Car,Laps,Time,Points
1,1,Sebastian Vettel,Red Bull Racing Renault,53,1:28:56.242,25
6,2,Felipe Massa,Ferrari,53,+20.639s,18
14,3,Kamui Kobayashi,Sauber Ferrari,53,+24.538s,15
3,4,Jenson Button,McLaren Mercedes,53,+25.098s,12
4,5,Lewis Hamilton,McLaren Mercedes,53,+46.490s,10
9,6,Kimi Räikkönen,Lotus Renault,53,+50.424s,8
12,7,Nico Hulkenberg,Force India Mercedes,53,+51.159s,6
18,8,Pastor Maldonado,Williams Renault,53,+52.364s,4
2,9,Mark Webber,Red Bull Racing Renault,53,+54.675s,2
16,10,Daniel Ricciardo,STR Ferrari,53,+66.919s,1
7,11,Michael Schumacher,Mercedes,53,+67.769s,0
11,12,Paul di Resta,Force India Mercedes,53,+83.460s,0
17,13,Jean-Eric Vergne,STR Ferrari,53,+88.645s,0
19,14,Bruno Senna,Williams Renault,53,+88.709s,0
20,15,Heikki Kovalainen,Caterham Renault,52,+1 lap,0
24,16,Timo Glock,Marussia Cosworth,52,+1 lap,0
21,17,Vitaly Petrov,Caterham Renault,52,+1 lap,0
22,18,Pedro de la Rosa,HRT Cosworth,52,+1 lap,0
10,19,Romain Grosjean,Lotus Renault,51,DNF,0
25,NC,Charles Pic,Marussia Cosworth,37,DNF,0
23,NC,Narain Karthikeyan,HRT Cosworth,32,DNF,0
15,NC,Sergio Perez,Sauber Ferrari,18,DNF,0
5,NC,Fernando Alonso,Ferrari,0,DNF,0
8,NC,Nico Rosberg,Mercedes,0,DNF,0
