,Position,Driver,Car,Time / Gap,Laps
6,1,Nico Rosberg,Mercedes,1:33.995,19
44,2,Lewis Hamilton,Mercedes,+0.297s,20
3,3,Daniel Ricciardo,Red Bull Racing Renault,+0.502s,22
77,4,Valtteri Bottas,Williams Mercedes,+0.802s,27
19,5,Felipe Massa,Williams Mercedes,+0.939s,25
7,6,Kimi Räikkönen,Ferrari,+1.087s,16
33,7,Max Verstappen,STR Renault,+1.165s,26
5,8,Sebastian Vettel,Ferrari,+1.227s,16
8,9,Romain Grosjean,Lotus Mercedes,+1.607s,20
55,10,Carlos Sainz,STR Renault,+1.968s,29
27,11,Nico Hulkenberg,Force India Mercedes,+2.115s,19
22,12,Jenson Button,McLaren Honda,+2.179s,15
9,13,Marcus Ericsson,Sauber Ferrari,+2.204s,19
26,14,Daniil Kvyat,Red Bull Racing Renault,+2.299s,23
13,15,Pastor Maldonado,Lotus Mercedes,+2.312s,21
14,16,Fernando Alonso,McLaren Honda,+2.365s,18
11,17,Sergio Perez,Force India Mercedes,+2.435s,21
12,18,Felipe Nasr,Sauber Ferrari,+2.924s,24
28,19,Will Stevens,Marussia Ferrari,+5.658s,24
53,20,Alexander Rossi,Marussia Ferrari,+5.824s,22
